p_flip,rep,n_flipped,spearman_rho,top5_overlap,mean_abs_delta_auc
0.01,0,7513,0.9454,2,0.0474
0.01,1,7484,0.9422,2,0.0478
0.01,2,7663,0.9413,3,0.048
0.01,3,7473,0.9424,2,0.0478
0.01,4,7569,0.9376,1,0.0477
0.01,5,7667,0.9391,2,0.0483
0.01,6,7437,0.94,2,0.0476
0.01,7,7361,0.9432,2,0.0465
0.01,8,7524,0.9411,2,0.048
0.01,9,7638,0.9387,2,0.0479
0.01,10,7586,0.9421,2,0.0477
0.01,11,7547,0.9417,2,0.0481
0.01,12,7478,0.9447,3,0.0466
0.01,13,7627,0.9407,1,0.0483
0.01,14,7658,0.9402,3,0.0487
0.01,15,7546,0.9364,2,0.0478
0.01,16,7605,0.9373,2,0.0483
0.01,17,7465,0.9375,2,0.0477
0.01,18,7642,0.9381,3,0.0486
0.01,19,7592,0.9394,2,0.0481
0.05,0,37744,0.7693,0,0.0949
0.05,1,37569,0.7682,0,0.0951
0.05,2,37971,0.76,0,0.0953
0.05,3,37686,0.7512,0,0.0944
0.05,4,37666,0.7754,0,0.0941
0.05,5,37988,0.7658,0,0.0947
0.05,6,37849,0.768,0,0.0958
0.05,7,37858,0.7725,0,0.0947
0.05,8,37969,0.7644,0,0.0949
0.05,9,37810,0.7605,0,0.0946
0.05,10,37581,0.7651,0,0.0944
0.05,11,37445,0.7741,0,0.0942
0.05,12,37613,0.7494,0,0.0946
0.05,13,38042,0.7595,0,0.0957
0.05,14,37799,0.7814,0,0.0946
0.05,15,37936,0.7783,0,0.0946
0.05,16,37662,0.7653,0,0.0953
0.05,17,37782,0.7825,0,0.0952
0.05,18,37477,0.7678,0,0.095
0.05,19,37647,0.7497,0,0.0946
0.1,0,75227,0.7123,0,0.1117
0.1,1,75599,0.7309,0,0.1117
0.1,2,75827,0.7043,0,0.1101
0.1,3,75616,0.7205,0,0.1107
0.1,4,75705,0.6887,0,0.1113
0.1,5,75709,0.6633,0,0.1109
0.1,6,75421,0.7143,0,0.1099
0.1,7,75512,0.7084,0,0.1115
0.1,8,75429,0.6957,0,0.1109
0.1,9,75576,0.7027,0,0.1111
0.1,10,74860,0.714,0,0.1108
0.1,11,75536,0.6998,0,0.1112
0.1,12,75589,0.6879,0,0.1106
0.1,13,75621,0.6879,0,0.1116
0.1,14,75476,0.7131,0,0.1102
0.1,15,75686,0.6798,0,0.1109
0.1,16,75339,0.7162,0,0.1105
0.1,17,76453,0.6835,0,0.1106
0.1,18,75725,0.6738,0,0.1103
0.1,19,75469,0.7248,0,0.1119
0.2,0,150576,0.6253,0,0.1231
0.2,1,150716,0.6933,0,0.1237
0.2,2,151195,0.6367,0,0.1233
0.2,3,150946,0.7259,0,0.1238
0.2,4,151075,0.5901,0,0.123
0.2,5,151158,0.5743,0,0.1231
0.2,6,151208,0.658,0,0.1236
0.2,7,151209,0.6336,0,0.1231
0.2,8,151049,0.6454,0,0.1236
0.2,9,151458,0.6268,0,0.1239
0.2,10,151602,0.6515,0,0.1235
0.2,11,151423,0.6944,0,0.1235
0.2,12,150864,0.6401,0,0.1232
0.2,13,151561,0.6381,0,0.1238
0.2,14,151459,0.5882,0,0.1236
0.2,15,150861,0.68,0,0.1236
0.2,16,151054,0.6952,0,0.1232
0.2,17,150881,0.614,0,0.1234
0.2,18,151470,0.6581,0,0.1233
0.2,19,150887,0.6252,0,0.1232
