p_flip,rep,spearman_rho,top5_overlap,mean_abs_delta_auc
0.01,0,0.9375,2,0.0682
0.01,1,0.9421,1,0.0663
0.01,2,0.9409,1,0.0678
0.01,3,0.9389,1,0.0681
0.01,4,0.9443,1,0.0678
0.01,5,0.9422,1,0.0671
0.01,6,0.9368,2,0.0681
0.01,7,0.9369,1,0.0688
0.01,8,0.9434,1,0.0678
0.01,9,0.9474,2,0.0668
0.01,10,0.945,2,0.0656
0.01,11,0.9371,0,0.069
0.01,12,0.9368,2,0.0684
0.01,13,0.9409,2,0.0681
0.01,14,0.9417,2,0.0674
0.01,15,0.9396,2,0.0683
0.01,16,0.9343,2,0.0682
0.01,17,0.9398,1,0.0679
0.01,18,0.9435,1,0.0668
0.01,19,0.9435,1,0.0674
0.05,0,0.8206,0,0.1236
0.05,1,0.8234,0,0.1229
0.05,2,0.8159,0,0.124
0.05,3,0.8329,0,0.1229
0.05,4,0.818,0,0.1227
0.05,5,0.8159,0,0.1241
0.05,6,0.8357,0,0.1221
0.05,7,0.8352,0,0.1223
0.05,8,0.8241,0,0.1226
0.05,9,0.8161,0,0.1227
0.05,10,0.829,0,0.1224
0.05,11,0.8354,0,0.1225
0.05,12,0.8287,0,0.1229
0.05,13,0.8217,0,0.1233
0.05,14,0.836,0,0.1219
0.05,15,0.8244,0,0.1233
0.05,16,0.8242,0,0.1226
0.05,17,0.8286,0,0.1218
0.05,18,0.8244,0,0.1223
0.05,19,0.8301,0,0.1216
0.1,0,0.7873,0,0.1377
0.1,1,0.7834,0,0.1383
0.1,2,0.7845,0,0.1383
0.1,3,0.7734,0,0.1386
0.1,4,0.8008,0,0.1381
0.1,5,0.7755,0,0.1381
0.1,6,0.782,0,0.1379
0.1,7,0.7724,0,0.1386
0.1,8,0.7802,0,0.1382
0.1,9,0.7844,0,0.1376
0.1,10,0.7859,0,0.139
0.1,11,0.7986,0,0.1383
0.1,12,0.7908,0,0.1383
0.1,13,0.7802,0,0.1381
0.1,14,0.7793,0,0.1387
0.1,15,0.7954,0,0.1385
0.1,16,0.8031,0,0.1382
0.1,17,0.8104,0,0.1372
0.1,18,0.8062,0,0.138
0.1,19,0.7919,0,0.1378
0.2,0,0.7096,0,0.1497
0.2,1,0.7542,0,0.1492
0.2,2,0.7133,0,0.149
0.2,3,0.7625,0,0.149
0.2,4,0.735,0,0.1492
0.2,5,0.7405,0,0.1492
0.2,6,0.7504,0,0.1495
0.2,7,0.7658,0,0.1487
0.2,8,0.7407,0,0.1488
0.2,9,0.758,0,0.1484
0.2,10,0.7655,0,0.1494
0.2,11,0.7725,0,0.1493
0.2,12,0.7559,0,0.1491
0.2,13,0.7509,0,0.1492
0.2,14,0.7446,0,0.1493
0.2,15,0.7488,0,0.1494
0.2,16,0.7637,0,0.149
0.2,17,0.7057,0,0.1494
0.2,18,0.7194,0,0.149
0.2,19,0.7375,0,0.1492
