p_flip,rep,spearman_rho,top5_overlap,mean_abs_delta_auc
0.01,0,0.9945,5,0.0052
0.01,1,0.9895,5,0.0053
0.01,2,0.9964,5,0.0055
0.01,3,0.9906,5,0.005
0.01,4,0.9941,5,0.0053
0.01,5,0.9898,5,0.005
0.01,6,0.9896,5,0.0062
0.01,7,0.9914,4,0.0066
0.01,8,0.991,5,0.0048
0.01,9,0.9898,5,0.0056
0.01,10,0.9891,5,0.0057
0.01,11,0.9924,5,0.0056
0.01,12,0.992,5,0.0047
0.01,13,0.99,5,0.0054
0.01,14,0.9982,5,0.0055
0.01,15,0.9904,4,0.0055
0.01,16,0.996,5,0.0048
0.01,17,0.9948,5,0.005
0.01,18,0.9911,5,0.0049
0.01,19,0.9944,5,0.0052
0.05,0,0.9904,5,0.0203
0.05,1,0.9879,4,0.0202
0.05,2,0.9927,5,0.0211
0.05,3,0.9902,5,0.019
0.05,4,0.9938,5,0.0201
0.05,5,0.9836,5,0.0218
0.05,6,0.9911,4,0.0212
0.05,7,0.9918,4,0.0208
0.05,8,0.9877,5,0.0203
0.05,9,0.9875,5,0.0211
0.05,10,0.9879,5,0.0198
0.05,11,0.9896,5,0.0202
0.05,12,0.9892,4,0.0201
0.05,13,0.9891,5,0.0203
0.05,14,0.989,5,0.0206
0.05,15,0.9917,4,0.0198
0.05,16,0.9902,5,0.0195
0.05,17,0.9922,5,0.0203
0.05,18,0.99,5,0.0201
0.05,19,0.9903,4,0.0198
0.1,0,0.9885,4,0.0336
0.1,1,0.9863,4,0.032
0.1,2,0.9865,5,0.0316
0.1,3,0.9815,5,0.0336
0.1,4,0.9882,5,0.0336
0.1,5,0.983,5,0.0329
0.1,6,0.9838,5,0.0344
0.1,7,0.98,5,0.0336
0.1,8,0.9861,5,0.0332
0.1,9,0.9896,4,0.0335
0.1,10,0.9889,4,0.0325
0.1,11,0.9866,5,0.0324
0.1,12,0.9879,5,0.0335
0.1,13,0.9867,5,0.0335
0.1,14,0.9673,5,0.0342
0.1,15,0.989,5,0.0334
0.1,16,0.9869,4,0.0333
0.1,17,0.9849,5,0.0325
0.1,18,0.9748,4,0.0335
0.1,19,0.985,5,0.0324
0.2,0,0.981,4,0.0494
0.2,1,0.9769,4,0.0482
0.2,2,0.9779,4,0.0479
0.2,3,0.9646,5,0.0494
0.2,4,0.9749,5,0.0487
0.2,5,0.9719,5,0.0486
0.2,6,0.9674,4,0.0489
0.2,7,0.9687,5,0.049
0.2,8,0.9841,5,0.0493
0.2,9,0.9716,4,0.0486
0.2,10,0.963,4,0.0503
0.2,11,0.9785,4,0.0489
0.2,12,0.97,4,0.0475
0.2,13,0.9792,4,0.0485
0.2,14,0.9622,4,0.0504
0.2,15,0.9727,3,0.0497
0.2,16,0.9772,5,0.0484
0.2,17,0.9774,5,0.0491
0.2,18,0.9686,4,0.049
0.2,19,0.9723,4,0.0492
