notebook,issue,detail,severity,fix
NB06,NOT_REGISTERED,NB06 has no registry entries,HIGH,Add bda_results to NB06 and rerun
NB07,NOT_REGISTERED,NB07 has no registry entries,HIGH,Add bda_results to NB07 and rerun
NB08a,NOT_REGISTERED,NB08a has no registry entries,HIGH,Add bda_results to NB08a and rerun
NB09a,NOT_REGISTERED,NB09a has no registry entries,HIGH,Add bda_results to NB09a and rerun
NB09c,NOT_REGISTERED,NB09c has no registry entries,HIGH,Add bda_results to NB09c and rerun
NB09e,NOT_REGISTERED,NB09e has no registry entries,HIGH,Add bda_results to NB09e and rerun
NB09e_v2,BELOW_RANDOM,L4b_accumulator_s2__date_worst_swir_rise_mean: AUC=0.5000 on bda_ms_change_v2,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB08c_v5,BELOW_RANDOM,C_A19_card_drop: AUC=0.4998 on bda_card_drop_v5,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB08c_v5,BELOW_RANDOM,C_A14_coh_drop: AUC=0.4995 on bda_coh_drop_v5,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB09d,BELOW_RANDOM,d8a_rgb_scratch: AUC=0.4994 on pixel_segmentation,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB08c_v7,BELOW_RANDOM,C_A27_block_accum_card: AUC=0.4994 on bda_block_accum_card_v7,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB09eV3_v1,BELOW_RANDOM,plausibility_standalone_plausibility_score: AUC=0.4990 on bda_plausibility_v2,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB09eV3_v1,BELOW_RANDOM,L4b_accumulator_s2__mahalanobis_exceedance_count: AUC=0.4989 on bda_ms_maha_v2,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB09cV3_v1,BELOW_RANDOM,E7b_GaussianNB: AUC=0.4983 on bda_fusion_composite_blockstats_v3,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB09aV5_v1,BELOW_RANDOM,R3b_coh_only: AUC=0.4977 on bda_fusion_composite_blockstats_v2,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB09b,BELOW_RANDOM,B7_UISEM_card+coh+delta: AUC=0.4973 on bda_product_prepost,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB08c_v3,BELOW_RANDOM,C_A27_block_accum_card: AUC=0.4955 on bda_block_accum_card_v3,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB08c_v5,BELOW_RANDOM,C_A27_block_accum_card: AUC=0.4953 on bda_block_accum_card_v5,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB08c_v6,BELOW_RANDOM,C_A27_block_accum_card: AUC=0.4953 on bda_block_accum_card_v6,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB08c_v6,BELOW_RANDOM,C_A14_coh_drop: AUC=0.4947 on bda_coh_drop_v6,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
NB09cV3_v1,BELOW_RANDOM,E2_LightGBM_card: AUC=0.4940 on bda_fusion_composite_blockstats_v3,CRITICAL,Data pipeline bug or assessment NaN collapse. Check parquet features and NaN rates.
