notebook,parquet_name,cell_id,tuned_classifier,baseline_classifier,feature_set_name,tuned_auc,baseline_auc,delta_auc,tuned_experiment_name,baseline_experiment_name,n_buildings,n_cities,n_features,notes
NB11_V2,bda_block_stats_v2,NB11e_dietrich28__block_stats__RF-200,RF-200-Optuna,RF-200,dietrich28,0.8451876717754665,0.6845246758328918,0.16066299594257472,NB11e_dietrich28__block_stats__RF-200,NB11e_dietrich28__block_stats__RF-200__baseline,598595.0,21.0,56.0,
NB11_V2,bda_block_stats_v2,NB11e_dietrich28__block_stats__LightGBM,LightGBM-Optuna,LightGBM,dietrich28,0.8651939589260575,0.8161540764762641,0.049039882449793404,NB11e_dietrich28__block_stats__LightGBM,NB11e_dietrich28__block_stats__LightGBM__baseline,598595.0,21.0,56.0,
NB11_V2,bda_fusion_composite_cohdrop_v2,NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200,RF-200-Optuna,RF-200,None,0.8186624404801781,0.7719922325440326,0.046670207936145514,NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200,NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200__baseline,466704.0,18.0,145.0,
NB11_V2,bda_fusion_composite_blockstats_v2,NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200,RF-200-Optuna,RF-200,None,0.8129650148492336,0.7736753525184437,0.0392896623307899,NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200,NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200__baseline,480313.0,19.0,915.0,
NB11_V2,bda_fusion_composite_blockstats_v2,NB11e_all_multimodal__fusion_composite_blockstats__RF-200,RF-200-Optuna,RF-200,all_multimodal,0.8128563028225559,0.7736753534008247,0.039180949421731226,NB11e_all_multimodal__fusion_composite_blockstats__RF-200,NB11e_all_multimodal__fusion_composite_blockstats__RF-200__baseline,480313.0,19.0,915.0,
NB11_V2,bda_fusion_ms_cohdrop_v2,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8514322569979395,0.8126126225699284,0.03881963442801106,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA__baseline,466704.0,18.0,88.0,
NB11_V2,bda_block_stats_v2,NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200,RF-200-Optuna,RF-200,None,0.8209933070364775,0.782386954923191,0.03860635211328656,NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200,NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200__baseline,598595.0,21.0,780.0,
NB11_V2,bda_fusion_composite_blockstats_v2,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8409115253590649,0.8049865640648248,0.035924961294240054,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA__baseline,480313.0,19.0,915.0,
NB11_V2,bda_composite_prepost_bands_v2,NB11f_R3_sensor_ablations__composite_prepost_bands__ms_only_A9__RF-200,RF-200-Optuna,RF-200,None,0.793659201281211,0.761231790297282,0.032427410983928984,NB11f_R3_sensor_ablations__composite_prepost_bands__ms_only_A9__RF-200,NB11f_R3_sensor_ablations__composite_prepost_bands__ms_only_A9__RF-200__baseline,480313.0,19.0,135.0,
NB11_V2,bda_composite_vs_scenes_bands_v2,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_bands__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.79550493929645,0.7631774430611865,0.03232749623526354,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_bands__LightGBM-MIA,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_bands__LightGBM-MIA__baseline,438885.0,16.0,18.0,
NB11_V2,bda_composite_prepost_bands_v2,NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8181719408854559,0.7861845855287047,0.031987355356751124,NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA,NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA__baseline,480313.0,19.0,135.0,
NB11_V2,bda_fusion_composite_cohdrop_v2,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8449077177721209,0.8129649691039427,0.031942748668178256,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA__baseline,466704.0,18.0,145.0,
NB11_V2,bda_fusion_indices_card_cohdrop_v2,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8471212153619858,0.8154260619687441,0.03169515339324169,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA__baseline,466704.0,18.0,86.0,
NB11_V2,bda_block_stats_v2,NB11e_dietrich28__block_stats__ExtraTrees,ExtraTrees-Optuna,ExtraTrees,dietrich28,0.8421503717020633,0.8111518470397765,0.030998524662286808,NB11e_dietrich28__block_stats__ExtraTrees,NB11e_dietrich28__block_stats__ExtraTrees__baseline,598595.0,21.0,56.0,
NB11_V2,bda_block_stats_v2,NB11b_A15_block_stats__block_stats__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8531321209719291,0.8226507979078755,0.0304813230640536,NB11b_A15_block_stats__block_stats__LightGBM-MIA,NB11b_A15_block_stats__block_stats__LightGBM-MIA__baseline,598595.0,21.0,780.0,
NB11_V2,bda_lu_change_v2,NB11c_A22_lu_change__lu_change__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8429896872108534,0.812744827888519,0.03024485932233445,NB11c_A22_lu_change__lu_change__LightGBM-MIA,NB11c_A22_lu_change__lu_change__LightGBM-MIA__baseline,598595.0,21.0,11.0,
NB11_V2,bda_composite_prepost_landuse_v2,NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.80282767828994,0.7726624828756035,0.030165195414336488,NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA,NB11d_A9_A10_composite_prepost__composite_prepost_landuse__LightGBM-MIA__baseline,480313.0,19.0,4.0,
NB11_V2,bda_rolling_stats_roll7_v2,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8513759240682441,0.8232707899505969,0.028105134117647257,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA__baseline,598595.0,21.0,57.0,
NB11_V2,bda_composite_vs_scenes_landuse_v2,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8120264235269727,0.7852456660578068,0.026780757469165972,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA__baseline,438885.0,16.0,6.0,
NB11_V2,bda_block_stats_v2,NB11e_dietrich28__block_stats__XGBoost,XGBoost-Optuna,XGBoost,dietrich28,0.8565190253002182,0.8302795858107583,0.026239439489459837,NB11e_dietrich28__block_stats__XGBoost,NB11e_dietrich28__block_stats__XGBoost__baseline,598595.0,21.0,56.0,
NB11_V2,bda_fusion_composite_blockstats_v2,NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees,ExtraTrees-Optuna,ExtraTrees,all_multimodal,0.8106303147419311,0.7845573642104066,0.026072950531524586,NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees,NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees__baseline,480313.0,19.0,915.0,
NB11_V2,bda_fusion_ms_card_cohdrop_v2,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8390664994060368,0.8137223687525013,0.02534413065353558,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA__baseline,466704.0,18.0,100.0,
NB11_V2,bda_fusion_composite_blockstats_v2,NB11e_all_multimodal__fusion_composite_blockstats__LightGBM,LightGBM-Optuna,LightGBM,all_multimodal,0.8130522111837515,0.7920682414235619,0.02098396976018957,NB11e_all_multimodal__fusion_composite_blockstats__LightGBM,NB11e_all_multimodal__fusion_composite_blockstats__LightGBM__baseline,480313.0,19.0,915.0,
NB11_V2,bda_prepost_single_card_v2,NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.812950275102468,0.8023623669485858,0.01058790815388222,NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA,NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA__baseline,598595.0,21.0,12.0,
NB11_V2,bda_rolling_stats_roll13_v2,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8323169688840124,0.8232707899505969,0.009046178933415527,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA__baseline,598595.0,21.0,57.0,
NB11_V2,bda_fusion_composite_blockstats_v2,NB11e_all_multimodal__fusion_composite_blockstats__XGBoost,XGBoost-Optuna,XGBoost,all_multimodal,0.8129898087350882,0.8054271454442101,0.007562663290878069,NB11e_all_multimodal__fusion_composite_blockstats__XGBoost,NB11e_all_multimodal__fusion_composite_blockstats__XGBoost__baseline,480313.0,19.0,915.0,
NB11_V2,bda_rolling_stats_roll3_v2,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8310469044573365,0.8241265028525089,0.006920401604827653,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA__baseline,598595.0,21.0,87.0,
NB11_V2,bda_ms_change_v2,NB11c_A20_ms_change__ms_change__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.7862365624514439,0.7806631905248586,0.005573371926585358,NB11c_A20_ms_change__ms_change__LightGBM-MIA,NB11c_A20_ms_change__ms_change__LightGBM-MIA__baseline,569622.0,20.0,10.0,
NB11_V2,bda_fusion_card_cohdrop_v2,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8457265262708498,0.8416942331180794,0.0040322931527703165,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA__baseline,584986.0,20.0,32.0,
NB11_V2,bda_card_drop_v2,NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8037406151861222,0.8023527900959412,0.001387825090180983,NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA,NB11c_A13_A14_A19_card_changes__card_drop__LightGBM-MIA__baseline,598595.0,21.0,10.0,
NB11_V2,bda_coh_drop_v2,NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA,LightGBM-MIA-Optuna,LightGBM-MIA,None,0.8004917216659956,0.8074813981936424,-0.006989676527646815,NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA,NB11c_A13_A14_A19_card_changes__coh_drop__LightGBM-MIA__baseline,584986.0,20.0,10.0,
NB10a_v1,V3_block_stats,C3,RF-Optuna,,dietrich28,0.5371633738888584,,,C3b_V3_RF_groupkfold_3x3max_BEST,,,,,no baseline sibling found
NB10a_v1,V3_block_stats,C3,RF-Optuna,,dietrich28,0.5333307537169268,,,C3a_V3_RF_dietrich_4_14_3x3max_BEST,,,,,no baseline sibling found
