notebook,manifest_key,classifier,baseline_auc,tuned_auc,delta_auc,mean_folds_auc,std_folds_auc,n_trials_done,n_trials_requested,n_features,n_buildings,n_cities,p_n_estimators,p_num_leaves,p_max_depth,p_learning_rate,p_min_child_samples,p_reg_alpha,p_reg_lambda,p_feature_fraction,p_bagging_fraction,p_bagging_freq,p_random_state,p_n_jobs,p_verbose,p_is_unbalance,p_force_col_wise,p_min_samples_leaf,p_min_samples_split,p_max_features,p_min_child_weight,p_subsample,p_colsample_bytree
NB11a_F2_F6,fusion_indices_card_cohdrop,LightGBM-MIA,0.8154260619687441,0.8471212153619858,0.03169515339324169,0.7481244832633234,0.04433699648192617,45,200,86,466704,18,174,133.0,4.0,0.1403554222169854,59.0,0.6632863491910439,1.6568678116408602,0.5023614881375337,0.650279602608195,8.0,,,,,,,,,,,
NB11a_F2_F6,fusion_ms_card_cohdrop,LightGBM-MIA,0.8137223687525013,0.8390664994060368,0.02534413065353558,0.7280853219575371,0.04214079529271949,26,200,100,466704,18,185,134.0,3.0,0.15242391728466367,29.0,1.325044568707964,0.6234221521788219,0.7600340105889054,0.7733551396716398,2.0,,,,,,,,,,,
NB11a_F3,fusion_card_cohdrop,LightGBM-MIA,0.8416942331180794,0.8457265262708498,0.0040322931527703165,0.7241969904615633,0.06927318158392029,67,200,32,584986,20,206,151.0,5.0,0.016798423022973828,59.0,0.09280679000241376,1.4691890932044631,0.5004093793845276,0.6803432966143114,2.0,,,,,,,,,,,
NB11a_F4_F7,fusion_composite_cohdrop,LightGBM-MIA,0.8129649691039427,0.8449077177721209,0.031942748668178256,0.6782530627493418,0.10520535425959965,46,200,145,466704,18,185,134.0,3.0,0.15242391728466367,29.0,1.325044568707964,0.6234221521788219,0.7600340105889054,0.7733551396716398,2.0,,,,,,,,,,,
NB11a_F4_F7,fusion_ms_cohdrop,LightGBM-MIA,0.8126126225699284,0.8514322569979395,0.03881963442801106,0.7331032831737395,0.04877668331173687,96,200,88,466704,18,104,157.0,3.0,0.11861495521123717,75.0,1.3868856002811674,1.845085662159181,0.5795281394665144,0.8493507534942323,1.0,,,,,,,,,,,
NB11a_F8,fusion_composite_blockstats,LightGBM-MIA,0.8049865640648248,0.8409115253590649,0.035924961294240054,0.6823880887703252,0.06811860702955165,94,200,915,480313,19,237,127.0,3.0,0.13424244783319908,15.0,1.0397433573329664,1.2327988420077294,0.8572938911887291,0.7291825052762522,0.0,,,,,,,,,,,
NB11b_A15_block_stats,block_stats,LightGBM-MIA,0.8226507979078755,0.8531321209719291,0.0304813230640536,0.6434434109853713,0.1472820841747259,49,200,780,598595,21,641,62.0,3.0,0.11506408247250169,72.0,1.4580143360819746,1.5425406933718915,0.5370223258670452,0.6792328642721364,1.0,,,,,,,,,,,
NB11b_A16_A17_A18_rolling,rolling_stats_roll13,LightGBM-MIA,0.8232707899505969,0.8323169688840124,0.009046178933415527,0.7287259580849467,0.07941046075791475,83,200,57,598595,21,551,55.0,5.0,0.010121234403801983,67.0,1.8697842964806768,1.542409278295613,0.6327259365892293,0.6428629237792957,4.0,,,,,,,,,,,
NB11b_A16_A17_A18_rolling,rolling_stats_roll3,LightGBM-MIA,0.8241265028525089,0.8310469044573365,0.006920401604827653,0.688708304152355,0.06459670263081403,46,200,87,598595,21,185,134.0,3.0,0.15242391728466367,29.0,1.325044568707964,0.6234221521788219,0.7600340105889054,0.7733551396716398,2.0,,,,,,,,,,,
NB11b_A16_A17_A18_rolling,rolling_stats_roll7,LightGBM-MIA,0.8232707899505969,0.8513759240682441,0.028105134117647257,0.6569741135337556,0.1496037461461402,49,200,57,598595,21,641,62.0,3.0,0.11506408247250169,72.0,1.4580143360819746,1.5425406933718915,0.5370223258670452,0.6792328642721364,1.0,,,,,,,,,,,
