classifier,param,n,min,mean,median,max,std,unique_vals
ExtraTrees,n_estimators,2,206.0,391.0,391.0,576.0,261.6295090390226,
ExtraTrees,max_depth,1,10.0,10.0,10.0,10.0,,
ExtraTrees,min_samples_leaf,2,7.0,8.0,8.0,9.0,1.4142135623730951,
ExtraTrees,min_samples_split,2,2.0,2.5,2.5,3.0,0.7071067811865476,
ExtraTrees,max_features,2,,,,,,"{0.3: 1, 'log2': 1}"
LightGBM,n_estimators,2,157.0,460.0,460.0,763.0,428.5067093990478,
LightGBM,num_leaves,2,234.0,241.0,241.0,248.0,9.899494936611665,
LightGBM,max_depth,2,3.0,3.0,3.0,3.0,0.0,
LightGBM,learning_rate,2,0.011334591631901706,0.021260858632759713,0.021260858632759713,0.03118712563361772,0.014037861416349901,
LightGBM,min_child_samples,2,81.0,87.5,87.5,94.0,9.192388155425117,
LightGBM,reg_alpha,2,0.8144820565771123,1.3867510720554495,1.3867510720554495,1.9590200875337866,0.8093106030153631,
LightGBM,reg_lambda,2,0.03913920061147451,0.2359892055983635,0.2359892055983635,0.4328392105852525,0.2783879468056698,
LightGBM,feature_fraction,2,0.5004793916224968,0.6693767507986846,0.6693767507986846,0.8382741099748725,0.2388569359959648,
LightGBM,bagging_fraction,2,0.677468406645442,0.8033481019083868,0.8033481019083868,0.9292277971713317,0.17802077226824892,
LightGBM,bagging_freq,2,2.0,2.5,2.5,3.0,0.7071067811865476,
LightGBM-MIA,n_estimators,19,104.0,367.6842105263158,237.0,767.0,225.97100419487919,
LightGBM-MIA,num_leaves,19,52.0,107.57894736842105,92.0,239.0,48.184040453099875,
LightGBM-MIA,max_depth,19,3.0,3.789473684210526,3.0,11.0,1.873171623163388,
LightGBM-MIA,learning_rate,19,0.010121234403801983,0.1104441692095787,0.12446516788685764,0.17160445029754812,0.05033850253998192,
LightGBM-MIA,min_child_samples,19,15.0,55.68421052631579,59.0,97.0,23.25953241045951,
LightGBM-MIA,reg_alpha,19,0.09280679000241376,1.2062585847944007,1.325044568707964,1.8697842964806768,0.43577577537195256,
LightGBM-MIA,reg_lambda,19,0.2818484499495253,1.03083029266165,0.9326770668008164,1.845085662159181,0.5337862848099049,
LightGBM-MIA,feature_fraction,19,0.5004093793845276,0.6870261316870724,0.6733645826655641,0.9938734776393412,0.15173423547973694,
LightGBM-MIA,bagging_fraction,19,0.5372753218398854,0.6918581165091451,0.6792328642721364,0.8493507534942323,0.09226867533902287,
LightGBM-MIA,bagging_freq,19,0.0,2.736842105263158,2.0,10.0,2.556953596744852,
LightGBM-MIA,random_state,4,42.0,42.0,42.0,42.0,0.0,
LightGBM-MIA,n_jobs,4,24.0,24.0,24.0,24.0,0.0,
LightGBM-MIA,verbose,4,-1.0,-1.0,-1.0,-1.0,0.0,
LightGBM-MIA,is_unbalance,4,1.0,1.0,1.0,1.0,0.0,
LightGBM-MIA,force_col_wise,4,1.0,1.0,1.0,1.0,0.0,
RF-200,n_estimators,6,177.0,400.1666666666667,306.5,764.0,227.32656392658262,
RF-200,max_depth,6,7.0,8.5,8.5,10.0,1.6431676725154984,
RF-200,min_samples_leaf,6,8.0,12.333333333333334,11.0,18.0,4.179314138308661,
RF-200,min_samples_split,6,4.0,13.0,12.0,20.0,5.89915248150105,
RF-200,max_features,6,,,,,,"{'log2': 3, 0.5: 1, 0.7: 1, 'sqrt': 1}"
XGBoost,n_estimators,2,521.0,627.5,627.5,734.0,150.61374439273462,
XGBoost,max_depth,2,10.0,11.0,11.0,12.0,1.4142135623730951,
XGBoost,learning_rate,2,0.010512649118874492,0.01057435781570739,0.01057435781570739,0.010636066512540286,8.726927597745212e-05,
XGBoost,reg_alpha,2,0.21407953799342228,0.28886473620381176,0.28886473620381176,0.36364993441420124,0.10576224157389293,
XGBoost,reg_lambda,2,0.36680901970686763,1.0477876207252832,1.0477876207252832,1.7287662217436988,0.9630491732461001,
XGBoost,min_child_weight,2,2.0,11.0,11.0,20.0,12.727922061357855,
XGBoost,subsample,2,0.5581890006562221,0.7372051605282165,0.7372051605282165,0.9162213204002109,0.25316708117492465,
XGBoost,colsample_bytree,2,0.6061695553391381,0.6144756873544575,0.6144756873544575,0.6227818193697767,0.011746644546925955,
