classifier,manifest_key,param,default,tuned,abs_drift,rel_drift
LightGBM-MIA,fusion_indices_card_cohdrop,n_estimators,150.0,174.0,24.0,0.16
LightGBM-MIA,fusion_indices_card_cohdrop,num_leaves,31.0,133.0,102.0,3.2903225806451615
LightGBM-MIA,fusion_indices_card_cohdrop,max_depth,6.0,4.0,-2.0,-0.3333333333333333
LightGBM-MIA,fusion_indices_card_cohdrop,learning_rate,0.05,0.1403554222169854,0.0903554222169854,1.807108444339708
LightGBM-MIA,fusion_indices_card_cohdrop,min_child_samples,20.0,59.0,39.0,1.95
LightGBM-MIA,fusion_indices_card_cohdrop,reg_alpha,0.0,0.6632863491910439,0.6632863491910439,
LightGBM-MIA,fusion_indices_card_cohdrop,reg_lambda,0.0,1.6568678116408602,1.6568678116408602,
LightGBM-MIA,fusion_indices_card_cohdrop,feature_fraction,1.0,0.5023614881375337,-0.4976385118624663,-0.4976385118624663
LightGBM-MIA,fusion_indices_card_cohdrop,bagging_fraction,1.0,0.650279602608195,-0.34972039739180505,-0.34972039739180505
LightGBM-MIA,fusion_indices_card_cohdrop,bagging_freq,0.0,8.0,8.0,
LightGBM-MIA,fusion_ms_card_cohdrop,n_estimators,150.0,185.0,35.0,0.23333333333333334
LightGBM-MIA,fusion_ms_card_cohdrop,num_leaves,31.0,134.0,103.0,3.3225806451612905
LightGBM-MIA,fusion_ms_card_cohdrop,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,fusion_ms_card_cohdrop,learning_rate,0.05,0.15242391728466367,0.10242391728466367,2.0484783456932734
LightGBM-MIA,fusion_ms_card_cohdrop,min_child_samples,20.0,29.0,9.0,0.45
LightGBM-MIA,fusion_ms_card_cohdrop,reg_alpha,0.0,1.325044568707964,1.325044568707964,
LightGBM-MIA,fusion_ms_card_cohdrop,reg_lambda,0.0,0.6234221521788219,0.6234221521788219,
LightGBM-MIA,fusion_ms_card_cohdrop,feature_fraction,1.0,0.7600340105889054,-0.2399659894110946,-0.2399659894110946
