classifier,param,n_studies,mean_default,mean_tuned,median_tuned,mean_rel_drift
ExtraTrees,max_depth,1,,10.0,10.0,
ExtraTrees,max_features,2,sqrt,0.3,0.3,
ExtraTrees,min_samples_leaf,2,3.0,8.0,8.0,1.6666666666666665
ExtraTrees,min_samples_split,2,2.0,2.5,2.5,0.25
ExtraTrees,n_estimators,2,200.0,391.0,391.0,0.955
LightGBM,bagging_fraction,2,1.0,0.8033481019083868,0.8033481019083868,-0.19665189809161315
LightGBM,bagging_freq,2,0.0,2.5,2.5,
LightGBM,feature_fraction,2,1.0,0.6693767507986846,0.6693767507986846,-0.33062324920131536
LightGBM,learning_rate,2,0.1,0.021260858632759713,0.021260858632759713,-0.787391413672403
LightGBM,max_depth,2,7.0,3.0,3.0,-0.5714285714285714
LightGBM,min_child_samples,2,20.0,87.5,87.5,3.375
LightGBM,n_estimators,2,200.0,460.0,460.0,1.3
LightGBM,num_leaves,2,31.0,241.0,241.0,6.774193548387097
LightGBM,reg_alpha,2,0.0,1.3867510720554495,1.3867510720554495,
LightGBM,reg_lambda,2,0.0,0.2359892055983635,0.2359892055983635,
LightGBM-MIA,bagging_fraction,19,1.0,0.6918581165091451,0.6792328642721364,-0.308141883490855
LightGBM-MIA,bagging_freq,19,0.0,2.736842105263158,2.0,
LightGBM-MIA,feature_fraction,19,1.0,0.6870261316870724,0.6733645826655641,-0.3129738683129275
LightGBM-MIA,learning_rate,19,0.05,0.1104441692095787,0.12446516788685764,1.2088833841915738
LightGBM-MIA,max_depth,19,6.0,3.789473684210526,3.0,-0.3684210526315789
LightGBM-MIA,min_child_samples,19,20.0,55.68421052631579,59.0,1.7842105263157895
LightGBM-MIA,n_estimators,19,150.0,367.6842105263158,237.0,1.4512280701754385
LightGBM-MIA,num_leaves,19,31.0,107.57894736842105,92.0,2.4702886247877758
LightGBM-MIA,reg_alpha,19,0.0,1.2062585847944007,1.325044568707964,
LightGBM-MIA,reg_lambda,19,0.0,1.03083029266165,0.9326770668008164,
RF-200,max_depth,6,,8.5,8.5,
RF-200,max_features,6,sqrt,0.6,0.6,
RF-200,min_samples_leaf,6,3.0,12.333333333333334,11.0,3.1111111111111107
RF-200,min_samples_split,6,2.0,13.0,12.0,5.5
RF-200,n_estimators,6,200.0,400.1666666666667,306.5,1.0008333333333332
XGBoost,colsample_bytree,2,1.0,0.6144756873544575,0.6144756873544575,-0.3855243126455426
XGBoost,learning_rate,2,0.1,0.01057435781570739,0.01057435781570739,-0.8942564218429261
XGBoost,max_depth,2,7.0,11.0,11.0,0.5714285714285714
XGBoost,min_child_weight,2,1.0,11.0,11.0,10.0
XGBoost,n_estimators,2,200.0,627.5,627.5,2.1375
XGBoost,reg_alpha,2,0.0,0.28886473620381176,0.28886473620381176,
XGBoost,reg_lambda,2,1.0,1.0477876207252832,1.0477876207252832,0.0477876207252832
XGBoost,subsample,2,1.0,0.7372051605282165,0.7372051605282165,-0.2627948394717835
