classifier,param,n,pearson_with_delta_auc,spearman_with_delta_auc
RF-200,n_estimators,6,-0.5362349880482202,-0.8285714285714287
LightGBM-MIA,bagging_freq,19,-0.1955157128589558,-0.2971204645638521
RF-200,max_depth,6,-0.4499735068575009,-0.29277002188455997
LightGBM-MIA,max_depth,19,-0.331340596017843,-0.28052794724845215
LightGBM-MIA,learning_rate,19,0.3189182593353302,0.2374273028937945
LightGBM-MIA,num_leaves,19,0.3222486236869205,0.2331176948434477
RF-200,min_samples_leaf,6,-0.3902306229587123,-0.23190841426097936
LightGBM-MIA,n_estimators,19,-0.16791683523440498,-0.22330523283319706
LightGBM-MIA,feature_fraction,19,0.21063978915430748,0.20741790401502494
LightGBM-MIA,reg_alpha,19,-0.07503476138437173,-0.18270428140897943
LightGBM-MIA,bagging_fraction,19,0.12153185362851121,0.17387798762110604
RF-200,min_samples_split,6,0.008223662543795291,0.11595420713048968
LightGBM-MIA,reg_lambda,19,-0.0929516350669816,-0.02559625198483287
LightGBM-MIA,min_child_samples,19,-0.08391975733978951,0.018618074841650015
