classifier,param,dataset_property,n,spearman
RF-200,max_depth,n_features,6,0.8911327886790069
RF-200,min_samples_leaf,n_buildings,6,-0.8140915784106943
RF-200,min_samples_leaf,n_cities,6,-0.8140915784106943
RF-200,min_samples_split,n_features,6,-0.7205882352941176
LightGBM-MIA,reg_alpha,n_buildings,19,0.5220603009648868
LightGBM-MIA,reg_alpha,n_cities,19,0.5209687217188904
LightGBM-MIA,bagging_fraction,n_features,19,0.4643999639822775
LightGBM-MIA,min_child_samples,n_buildings,19,0.4515742773792031
LightGBM-MIA,min_child_samples,n_cities,19,0.4407440832231239
LightGBM-MIA,feature_fraction,n_buildings,19,-0.41536850146638593
LightGBM-MIA,num_leaves,n_cities,19,-0.40974284847686393
LightGBM-MIA,num_leaves,n_buildings,19,-0.4018685548958338
RF-200,min_samples_split,n_cities,6,-0.39139018192821845
RF-200,min_samples_split,n_buildings,6,-0.39139018192821845
LightGBM-MIA,feature_fraction,n_cities,19,-0.38764456155945487
LightGBM-MIA,max_depth,n_features,19,-0.3533022018322968
LightGBM-MIA,num_leaves,n_features,19,0.3230120116453197
LightGBM-MIA,n_estimators,n_features,19,-0.283947406549164
LightGBM-MIA,learning_rate,n_cities,19,-0.2552335805791935
LightGBM-MIA,n_estimators,n_buildings,19,0.2548748543575299
LightGBM-MIA,n_estimators,n_cities,19,0.25432040140001927
LightGBM-MIA,learning_rate,n_buildings,19,-0.2539629586353205
LightGBM-MIA,learning_rate,n_features,19,0.22733483951132444
RF-200,n_estimators,n_cities,6,-0.21602468994692872
RF-200,n_estimators,n_buildings,6,-0.21602468994692872
RF-200,max_depth,n_cities,6,0.21081851067789198
RF-200,max_depth,n_buildings,6,0.21081851067789198
LightGBM-MIA,bagging_freq,n_features,19,-0.20335798734094204
LightGBM-MIA,bagging_fraction,n_cities,19,-0.19131103803699834
LightGBM-MIA,bagging_freq,n_cities,19,0.18041268806786284
LightGBM-MIA,bagging_fraction,n_buildings,19,-0.17462803080310185
LightGBM-MIA,max_depth,n_cities,19,0.16222408820076212
LightGBM-MIA,bagging_freq,n_buildings,19,0.1586336158708295
LightGBM-MIA,reg_lambda,n_features,19,0.14949255983429505
LightGBM-MIA,max_depth,n_buildings,19,0.1471188936595002
LightGBM-MIA,min_child_samples,n_features,19,-0.13550016236723622
RF-200,min_samples_leaf,n_features,6,-0.11764705882352942
LightGBM-MIA,feature_fraction,n_features,19,-0.10437942047601668
LightGBM-MIA,reg_lambda,n_buildings,19,0.10167637302634913
LightGBM-MIA,reg_lambda,n_cities,19,0.07898999899856972
RF-200,n_estimators,n_features,6,-0.057977103565244846
LightGBM-MIA,reg_alpha,n_features,19,-0.039805711198480934
