notebook,manifest_key,classifier,tuned_auc,baseline_auc,delta_auc,n_trials_done,n_trials_requested,patience,early_stopped
NB11a_F2_F6,fusion_indices_card_cohdrop,LightGBM-MIA,0.8471212153619858,0.8154260619687441,0.03169515339324169,45,200,40,True
NB11a_F2_F6,fusion_ms_card_cohdrop,LightGBM-MIA,0.8390664994060368,0.8137223687525013,0.02534413065353558,26,200,40,True
NB11a_F3,fusion_card_cohdrop,LightGBM-MIA,0.8457265262708498,0.8416942331180794,0.0040322931527703165,67,200,40,True
NB11a_F4_F7,fusion_composite_cohdrop,LightGBM-MIA,0.8449077177721209,0.8129649691039427,0.031942748668178256,46,200,40,True
NB11a_F4_F7,fusion_ms_cohdrop,LightGBM-MIA,0.8514322569979395,0.8126126225699284,0.03881963442801106,96,200,40,True
NB11a_F8,fusion_composite_blockstats,LightGBM-MIA,0.8409115253590649,0.8049865640648248,0.035924961294240054,94,200,40,True
NB11b_A15_block_stats,block_stats,LightGBM-MIA,0.8531321209719291,0.8226507979078755,0.0304813230640536,49,200,40,True
NB11b_A16_A17_A18_rolling,rolling_stats_roll13,LightGBM-MIA,0.8323169688840124,0.8232707899505969,0.009046178933415527,83,200,40,True
NB11b_A16_A17_A18_rolling,rolling_stats_roll3,LightGBM-MIA,0.8310469044573365,0.8241265028525089,0.006920401604827653,46,200,40,True
NB11b_A16_A17_A18_rolling,rolling_stats_roll7,LightGBM-MIA,0.8513759240682441,0.8232707899505969,0.028105134117647257,49,200,40,True
NB11c_A13_A14_A19_card_changes,card_drop,LightGBM-MIA,0.8037406151861222,0.8023527900959412,0.001387825090180983,62,200,40,True
NB11c_A13_A14_A19_card_changes,coh_drop,LightGBM-MIA,0.8004917216659956,0.8074813981936424,-0.006989676527646815,49,200,40,True
NB11c_A13_A14_A19_card_changes,prepost_single_card,LightGBM-MIA,0.812950275102468,0.8023623669485858,0.01058790815388222,45,200,40,True
NB11c_A20_ms_change,ms_change,LightGBM-MIA,0.7862365624514439,0.7806631905248586,0.005573371926585358,48,200,40,True
NB11c_A22_lu_change,lu_change,LightGBM-MIA,0.8429896872108534,0.812744827888519,0.03024485932233445,97,200,40,True
NB11d_A11_A12_composite_vs_scenes,composite_vs_scenes_bands,LightGBM-MIA,0.79550493929645,0.7631774430611865,0.03232749623526354,113,200,40,True
NB11d_A11_A12_composite_vs_scenes,composite_vs_scenes_landuse,LightGBM-MIA,0.8120264235269727,0.7852456660578068,0.026780757469165972,46,200,40,True
NB11d_A9_A10_composite_prepost,composite_prepost_bands,LightGBM-MIA,0.8181719408854559,0.7861845855287047,0.031987355356751124,177,200,40,True
NB11d_A9_A10_composite_prepost,composite_prepost_landuse,LightGBM-MIA,0.80282767828994,0.7726624828756035,0.030165195414336488,65,200,40,True
NB11e_all_multimodal,fusion_composite_blockstats,ExtraTrees,0.8106303147419311,0.7845573642104066,0.026072950531524586,88,200,40,True
NB11e_all_multimodal,fusion_composite_blockstats,LightGBM,0.8130522111837515,0.7920682414235619,0.02098396976018957,125,200,40,True
NB11e_all_multimodal,fusion_composite_blockstats,RF-200,0.8128563028225559,0.7736753534008247,0.039180949421731226,20,200,40,True
NB11e_all_multimodal,fusion_composite_blockstats,XGBoost,0.8129898087350882,0.8054271454442101,0.007562663290878069,75,200,40,True
NB11e_dietrich28,block_stats,ExtraTrees,0.8421503717020633,0.8111518470397765,0.030998524662286808,55,200,40,True
NB11e_dietrich28,block_stats,LightGBM,0.8651939589260575,0.8161540764762641,0.049039882449793404,81,200,40,True
NB11e_dietrich28,block_stats,RF-200,0.8451876717754665,0.6845246758328918,0.16066299594257472,87,100,40,True
NB11e_dietrich28,block_stats,XGBoost,0.8565190253002182,0.8302795858107583,0.026239439489459837,23,200,40,True
NB11f_R3_sensor_ablations,block_stats,RF-200,0.8209933070364775,0.782386954923191,0.03860635211328656,17,200,40,True
NB11f_R3_sensor_ablations,composite_prepost_bands,RF-200,0.793659201281211,0.761231790297282,0.032427410983928984,135,200,40,True
NB11f_R3_sensor_ablations,fusion_composite_blockstats,RF-200,0.8129650148492336,0.7736753525184437,0.0392896623307899,93,200,40,True
NB11f_R3_sensor_ablations,fusion_composite_cohdrop,RF-200,0.8186624404801781,0.7719922325440326,0.046670207936145514,154,200,40,True
