experiment_name,record_type,notebook,cell_id,parquet_name,tier_selection,n_cities,cities,n_buildings,n_damaged,n_undamaged,damage_rate,classifier_name,feature_set_name,n_features,cv_method,n_folds,imputation,scaling,class_weight,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,average_precision,log_loss,brier_score,specificity,tp,fp,tn,fn,precision_at_recall_80,precision_at_recall_90,threshold_at_recall_90,n_samples,prevalence,mean_best_auc,mean_jm,mean_auc,auc_mean,auc_std,note,is_reference,reference_paper,timestamp,run_id
R0_dietrich28_faithful_groupkfold,experiment,NB09aV4_v1,cell_r0,bda_block_stats_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,dietrich28_baseline_blk01,32,GroupKFold,5,median,none,balanced,0.5363654069734344,0.004325363450678842,0.23684210526315788,0.0021826118588577663,0.8689657353382984,0.5005639948522597,0.010963942843531997,0.1512651750610129,0.4040594350460811,0.11891894776079114,0.9989453778456615,18,58,54938,8229,0.13325254973240433,0.13119476846942382,0.09936701672480418,63243,0.13040178359660357,,,,,,"Faithful Dietrich 2025 replication: baseline + blk01, 7 stats x 2 pols x _mean zonal",False,,2026-05-03T18:06:36.625205,20260503_180614
R0b_prepost_single_card_groupkfold,experiment,NB09aV4_v1,cell_r0b,bda_prepost_single_card_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,prepost_single_card,48,GroupKFold,5,median,none,balanced,0.543723007450797,0.005058412621943876,0.375,0.0025463805020007274,0.8693768480306121,0.5009549852906395,0.02162381639798645,0.15686683841876375,0.39876268644026264,0.11728293210861149,0.9993635900792784,21,35,54961,8226,0.1360159970314787,0.13381525814825498,0.11131267256264188,63243,0.13040178359660357,,,,,,"Simplified 2-period CARD sanity check (A13, not Dietrich-28)",False,,2026-05-03T18:10:33.737538,20260503_180614
R0c_roll3_baseline+assessment,experiment,NB09aV4_v1,cell_r0c,bda_rolling_stats_roll3_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,roll3_baseline+assessment,272,GroupKFold,5,median,none,balanced,0.538186427447708,0.0009688748940293085,0.4,0.0004850248575239481,0.8695665923501416,0.5001879630069859,0.010068019205826596,0.1521938015224214,0.39493411715221427,0.11589611787692554,0.9998909011564477,4,6,54990,8243,0.13551315492205632,0.13285011185682327,0.10504700431640802,63243,0.13040178359660357,,,,,,Rolling window 3 baseline+assessment,False,,2026-05-03T18:11:08.410986,20260503_180614
R0c_roll3_assessment_only,experiment,NB09aV4_v1,cell_r0c,bda_rolling_stats_roll3_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,roll3_assessment_only,96,GroupKFold,5,median,none,balanced,0.47423750376836604,0.15861344537815125,0.11150494757052135,0.27464532557293564,0.6200370001423082,0.4732380020838713,-0.03860064829183472,0.12271711574271042,0.693025365905806,0.2499390926776437,0.6718306785948069,2265,18048,36948,5982,0.13084147328402312,0.13040178359660357,0.4997087585805127,63243,0.13040178359660357,,,,,,Rolling window 3 assessment only (no baseline),False,,2026-05-03T18:11:15.204273,20260503_180614
R0c_roll7_baseline+assessment,experiment,NB09aV4_v1,cell_r0c,bda_rolling_stats_roll7_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,roll7_baseline+assessment,192,GroupKFold,5,median,none,balanced,0.5395169033006076,0.0007270083605961468,0.5,0.0003637686431429611,0.8695982164033964,0.5001546096106834,0.010691011007666014,0.15315918966469325,0.3947426869027408,0.1158172883042656,0.9999454505782238,3,3,54993,8244,0.13541303232426885,0.13341121495327102,0.10525065687723709,63243,0.13040178359660357,,,,,,Rolling window 7 baseline+assessment,False,,2026-05-03T18:11:51.033104,20260503_180614
R0c_roll7_assessment_only,experiment,NB09aV4_v1,cell_r0c,bda_rolling_stats_roll7_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,roll7_assessment_only,16,GroupKFold,5,median,none,balanced,0.48012550542935306,0.15861344537815125,0.11150494757052135,0.27464532557293564,0.6200370001423082,0.4732380020838713,-0.03860064829183472,0.12426045696953734,0.693134159088374,0.24999348926525786,0.6718306785948069,2265,18048,36948,5982,0.13084147328402312,0.13040178359660357,0.49975994496956866,63243,0.13040178359660357,,,,,,Rolling window 7 assessment only (no baseline),False,,2026-05-03T18:11:55.742168,20260503_180614
R0c_roll13_baseline+assessment,experiment,NB09aV4_v1,cell_r0c,bda_rolling_stats_roll13_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,roll13_baseline+assessment,176,GroupKFold,5,median,none,balanced,0.5377483828690413,0.001452608643021426,0.42857142857142855,0.0007275372862859222,0.8695665923501416,0.5002910360807747,0.013175533314837328,0.15272834766703036,0.3948620925830712,0.11579484302925043,0.9998545348752637,6,8,54988,8241,0.13419842980921776,0.13226070843133061,0.10220188595406991,63243,0.13040178359660357,,,,,,Rolling window 13 baseline+assessment,False,,2026-05-03T18:12:34.243271,20260503_180614
R1_random_cv,experiment,NB09aV4_v1,cell_r1,bda_block_stats_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,dietrich28,32,StratifiedKFold,5,median,none,balanced,0.6048446335632174,0.0496054114994363,0.35313001605136435,0.026676367163817147,0.8667046155305725,0.5096742807526119,0.06597230776290014,0.19177289117525553,0.3952018561058223,0.11705023181986692,0.9926721943414066,220,403,54593,8027,0.14782452838643187,0.1403903619926618,0.11731390810747502,63243,0.13040178359660357,,,,,,Random CV (leaky) for leakage quantification,False,,2026-05-03T18:12:56.542711,20260503_180614
R1_groupkfold,experiment,NB09aV4_v1,cell_r1,bda_block_stats_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,dietrich28,32,GroupKFold,5,median,none,balanced,0.5363654069734344,0.004325363450678842,0.23684210526315788,0.0021826118588577663,0.8689657353382984,0.5005639948522597,0.010963942843531997,0.1512651750610129,0.4040594350460811,0.11891894776079114,0.9989453778456615,18,58,54938,8229,0.13325254973240433,0.13119476846942382,0.09936701672480418,63243,0.13040178359660357,,,,,,GroupKFold for leakage quantification,False,,2026-05-03T18:13:13.807756,20260503_180614
R2_roll3,experiment,NB09aV4_v1,cell_r2,bda_rolling_stats_roll3_v2,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,RF-200,roll3_baseline_plus_assessment,224,GroupKFold,5,median,none,balanced,0.5481523351725315,0.001452960406828914,0.5,0.0007275372862859222,0.8695982164033964,0.5003092192213668,0.015120090085390314,0.1610842912536322,0.39490916504211865,0.11592464857766875,0.9998909011564477,6,6,54990,8241,0.13617038840962561,0.13331058510829352,0.11310620923025619,63243,0.13040178359660357,,,,,,Rolling window 3: baseline + roll3 assessment stats,False,,2026-05-03T18:13:47.244214,20260503_180614
