experiment_name,record_type,notebook,cell_id,parquet_name,tier_selection,n_cities,cities,n_buildings,n_damaged,n_undamaged,damage_rate,classifier_name,feature_set_name,n_features,cv_method,n_folds,imputation,scaling,class_weight,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,average_precision,log_loss,brier_score,specificity,tp,fp,tn,fn,precision_at_recall_80,precision_at_recall_90,threshold_at_recall_90,n_samples,prevalence,mean_best_auc,mean_jm,mean_auc,auc_mean,auc_std,note,is_reference,reference_paper,timestamp,run_id
R0_dietrich28_groupkfold,experiment,NB09a,cell_r0,bda_product_prepost,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,dietrich28,96,GroupKFold,5.0,median,none,balanced,0.34321917943659014,0.000536480686695279,0.016129032258064516,0.00027277686852154935,0.9875508482362866,0.5000332194553123,0.0005077988165235784,0.008695985322109199,0.20418354582844975,0.04079662388192631,0.9997936620421031,2,122,591141,7330,0.011141712093297118,0.011725031227068316,0.00978588503157822,598595,0.012248682331125386,,,,,,Dietrich 2025 replication with period-aggregated CARD features,False,,2026-04-12T23:07:56.669682,20260412_230345
R0a_eq3_t0.5,experiment,NB09a,cell_r0a,bda_block_stats_card,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,dietrich_eq3_blocks_t0.5,0,GroupKFold,5.0,median,none,balanced,0.434172918014495,0.03455882352941177,0.17028985507246377,0.019230769230769232,0.9868391817505994,0.5090344248732732,0.05347501924870573,0.027730753694366922,0.19866766099467406,0.04132399086408448,0.9988380805157773,141,687,590576,7191,0.011560283548175402,0.011890240057081801,0.029654092510974565,598595,0.012248682331125386,,,,,,"Faithful Dietrich Eq.3 block aggregation, threshold=0.5",False,,2026-04-13T00:23:07.016610,20260412_230345
R0a_eq3_t0.655,experiment,NB09a,cell_r0a,bda_block_stats_card,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,dietrich_eq3_blocks_t0.655,0,GroupKFold,5.0,median,none,balanced,0.434172918014495,0.03455882352941177,0.17028985507246377,0.019230769230769232,0.9868391817505994,0.5090344248732732,0.05347501924870573,0.027730753694366922,0.19866766099467406,0.04132399086408448,0.9988380805157773,141,687,590576,7191,0.011560283548175402,0.011890240057081801,0.029654092510974565,598595,0.012248682331125386,,,,,,"Faithful Dietrich Eq.3 block aggregation, threshold=0.655",False,,2026-04-13T00:23:07.779249,20260412_230345
R0b_roll3_baseline+assessment,experiment,NB09a,cell_r0b,bda_rolling_roll3,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,roll3_baseline+assessment,102,GroupKFold,5.0,median,none,balanced,0.3921045130249482,0.013144058885383806,0.18115942028985507,0.006819421713038734,0.9874572958344122,0.5032185945512542,0.03298199402215225,0.02053625321142449,0.20467070448350813,0.03968954874120416,0.9996177673894696,50,226,591037,7282,0.01136103934336059,0.01173319208236164,0.005,598595,0.012248682331125386,,,,,,Rolling window 3 baseline+assessment,False,,2026-04-13T00:27:17.146560,20260412_230345
R0b_roll3_assessment_only,experiment,NB09a,cell_r0b,bda_rolling_roll3,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,roll3_assessment_only,36,GroupKFold,5.0,median,none,balanced,0.2940463430434439,0.02286818519862326,0.011604652440252518,0.7779596290234588,0.18567478846298416,0.4781448730389838,-0.012545309331162584,0.009772693093026528,0.6971476593364843,0.25200022085386,0.17833011705450874,5704,485823,105440,1628,0.012248682331125386,0.012248682331125386,0.499917865745861,598595,0.012248682331125386,,,,,,Rolling window 3 assessment only (no baseline),False,,2026-04-13T00:28:24.988993,20260412_230345
R0b_roll7_baseline+assessment,experiment,NB09a,cell_r0b,bda_rolling_roll7,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,roll7_baseline+assessment,72,GroupKFold,5.0,median,none,balanced,0.3951096630432573,0.012932172077065188,0.1991869918699187,0.00668303327877796,0.9875040720353494,0.5031749241078083,0.03446038183760014,0.020837658716347914,0.20442497707097423,0.03948819223392201,0.9996668149368386,49,197,591066,7283,0.011310162953481244,0.011824660303079715,0.004985366824765161,598595,0.012248682331125386,,,,,,Rolling window 7 baseline+assessment,False,,2026-04-13T00:32:21.347795,20260412_230345
R0b_roll7_assessment_only,experiment,NB09a,cell_r0b,bda_rolling_roll7,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,roll7_assessment_only,6,GroupKFold,5.0,median,none,balanced,0.32953406380583694,0.0,0.0,0.0,0.9877513176688746,0.5,0.0,0.010247346930988362,0.6929342095505866,0.2498935144982372,1.0,0,0,591263,7332,0.012248682331125386,0.012248682331125386,0.4998087414703011,598595,0.012248682331125386,,,,,,Rolling window 7 assessment only (no baseline),False,,2026-04-13T00:32:44.543818,20260412_230345
R0b_roll13_baseline+assessment,experiment,NB09a,cell_r0b,bda_rolling_roll13,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,roll13_baseline+assessment,66,GroupKFold,5.0,median,none,balanced,0.3955800131014721,0.013675213675213675,0.19047619047619047,0.0070921985815602835,0.9874689898846466,0.503359211222357,0.034611472656349146,0.02092436517369411,0.2057549723893964,0.03949076381970796,0.9996262238631539,52,221,591042,7280,0.01134575153036168,0.011806229784312358,0.004973626668128468,598595,0.012248682331125386,,,,,,Rolling window 13 baseline+assessment,False,,2026-04-13T00:36:48.485689,20260412_230345
R1_random_cv,experiment,NB09a,cell_r1,bda_product_prepost,[],21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,dietrich28,96,StratifiedKFold,5.0,median,none,balanced,0.4504348836860117,0.0008179959100204499,1.0,0.0004091653027823241,0.9877563294046893,0.5002045826513911,0.020103621377470335,0.015504609766165474,0.17069201627194128,0.03452186241249622,1.0,3,0,591263,7329,0.013005757919078733,0.012944088754982267,0.016987935968413633,598595,0.012248682331125386,,,,,,Random CV (leaky) for leakage quantification,False,,2026-04-13T00:40:29.430283,20260412_230345
R1_groupkfold,experiment,NB09a,cell_r1,bda_product_prepost,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,RF-200,dietrich28,96,GroupKFold,5.0,median,none,balanced,0.3432191856647622,0.000536480686695279,0.016129032258064516,0.00027277686852154935,0.9875508482362866,0.5000332194553123,0.0005077988165235784,0.008695985326639762,0.20418354582844975,0.04079662388192631,0.9997936620421031,2,122,591141,7330,0.011141712093297118,0.011725031227068316,0.00978588503157822,598595,0.012248682331125386,,,,,,GroupKFold for leakage quantification,False,,2026-04-13T00:43:40.229590,20260412_230345
