experiment_name,record_type,notebook,cell_id,parquet_name,tier_selection,n_cities,cities,n_buildings,n_damaged,n_undamaged,damage_rate,classifier_name,feature_set_name,n_features,cv_method,n_folds,imputation,scaling,class_weight,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,average_precision,log_loss,brier_score,specificity,tp,fp,tn,fn,precision_at_recall_80,precision_at_recall_90,threshold_at_recall_90,n_samples,prevalence,mean_best_auc,mean_jm,mean_auc,auc_mean,auc_std,note,is_reference,reference_paper,timestamp,run_id
B0_single_s1_vv_mean,experiment,NB09bV3_v1,cell_b0,bda_block_stats_v3,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,unsupervised_change,s1_vv_mean,2,unsupervised,0,none,none,balanced,0.5184193351125514,0.22203632442882903,0.13112018618539498,0.7241421122832545,0.33828249766772606,0.5022812532468712,0.003422489293137583,0.14105999008261566,,,0.28042039421048803,5972,39574,15422,2275,0.13027167903964618,0.13152485913746056,0.1908254623413086,63243,0.13040178359660357,,,,,,"Single-feature pre/post change: s1_vv_mean, direction=|change|",False,,2026-04-29T08:44:23.104678,20260429_084422
B0_single_s1_vh_mean,experiment,NB09bV3_v1,cell_b0,bda_block_stats_v3,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,unsupervised_change,s1_vh_mean,2,unsupervised,0,none,none,balanced,0.5229742735657845,0.22486126105649942,0.13324354657687992,0.719776888565539,0.3528928102714925,0.5088265488721941,0.013027801046657721,0.14249786682251728,,,0.2978762091788494,5936,38614,16382,2311,0.13400491500294495,0.13300007166917507,0.197998046875,63243,0.13040178359660357,,,,,,"Single-feature pre/post change: s1_vh_mean, direction=|change|",False,,2026-04-29T08:44:23.694853,20260429_084422
B4_step1_card,experiment,NB09bV3_v1,cell_b4,multiple_v3,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,unsupervised_combined,step1_card,2,unsupervised,0,none,none,balanced,0.5259161180834978,0.2201957753735188,0.13979655251365583,0.5182490602643386,0.5213383299337476,0.5200253229170991,0.026988545347607487,0.14388623633656916,0.8306349780405922,0.29237768935073316,0.5218015855698597,4274,26299,28697,3973,0.13238097148933609,0.13082020372916006,0.21361652673023102,63243,0.13040178359660357,,,,,,"Modality ladder: step1_card, rank-averaged",False,,2026-04-29T08:44:30.445157,20260429_084422
B5_UISEM_all_features,experiment,NB09bV3_v1,cell_b5,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,UISEM_RF+GB+XGB+AB,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6546288614879685,0.03416990691646047,0.35626535626535627,0.017945544554455444,0.8678819528391599,0.5065451830030955,0.054574665807494066,0.21447472526405992,0.38489715436424066,0.11390152052749239,0.9951448214517354,145,262,53701,7935,0.16738742004816531,0.15325605900948366,0.12908925098628035,62043,0.13023225827248844,,,,,,Ahmad 2024 UISEM: RF+GB+XGB+AdaBoost soft voting,False,,2026-04-29T08:59:47.965022,20260429_084422
B5_sub_RF,experiment,NB09bV3_v1,cell_b5,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,RF-200,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6591263692229165,0.021110711287033707,0.3424124513618677,0.01089108910891089,0.8684621955740374,0.503879656816561,0.04065981778373979,0.22034722063626266,0.3764988379532693,0.11115140953552631,0.9968682245242111,88,169,53794,7992,0.16621666795237727,0.15100608426604648,0.11750567630418524,62043,0.13023225827248844,,,,,,UISEM sub-classifier: RF,False,,2026-04-29T09:00:15.189932,20260429_084422
B5_sub_GBM,experiment,NB09bV3_v1,cell_b5,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,GBM,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6394475046433539,0.03629935179728933,0.3802469135802469,0.01905940594059406,0.8682043099140918,0.5072040353832467,0.0602154276785393,0.21080606198386176,0.3814373862248481,0.11145424668670417,0.9953486648258992,154,251,53712,7926,0.15828782721551535,0.14715285928204297,0.04548343973684474,62043,0.13023225827248844,,,,,,UISEM sub-classifier: GBM,False,,2026-04-29T09:05:11.564642,20260429_084422
B5_sub_XGB,experiment,NB09bV3_v1,cell_b5,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,XGBoost,all_multimodal,179,GroupKFold,5,median,none,balanced,0.602301184823558,0.14886950630874757,0.23572003218020918,0.10878712871287129,0.8379994519929727,0.5279865817943097,0.07925943444524938,0.18352996425959023,0.47562530978322537,0.13032189226481836,0.9471860348757482,879,2850,51113,7201,0.150133550110324,0.14214229867083658,0.007745320443063974,62043,0.13023225827248844,,,,,,UISEM sub-classifier: XGBoost,False,,2026-04-29T09:05:23.695752,20260429_084422
B6_UISEM_no_AdaBoost,experiment,NB09bV3_v1,cell_b6,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,UISEM_RF+GB+XGB,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6458528331568587,0.04535462223764897,0.3481349911190053,0.024257425742574258,0.8670115887368438,0.5087282347659187,0.06195680460810778,0.2093034822634289,0.3765595969319003,0.1118619251613905,0.993199043789263,196,367,53596,7884,0.1637575051300889,0.15131400986287688,0.06931996328112604,62043,0.13023225827248844,,,,,,UISEM without AdaBoost (Ahmad 2024 ablation),False,,2026-04-29T09:10:46.815504,20260429_084422
B6_AdaBoost_alone,experiment,NB09bV3_v1,cell_b6,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,AdaBoost,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6574508388402541,0.0014761963341124369,0.12244897959183673,0.0007425742574257426,0.8691713811388876,0.4999728659883019,-0.0006501669022570269,0.21456781108616219,0.4893779309517093,0.15263664426366563,0.999203157719178,6,43,53920,8074,0.1664185234623678,0.14782591019047425,0.28888146952846955,62043,0.13023225827248844,,,,,,AdaBoost alone for ablation comparison,False,,2026-04-29T09:16:58.866563,20260429_084422
B7_UISEM_coh_only,experiment,NB09bV3_v1,cell_b7,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,UISEM_RF+GB+XGB,coh_only,12,GroupKFold,5,median,none,balanced,0.4806697069022174,0.008461259518916959,0.18134715025906736,0.004331683168316832,0.8677852457166804,0.5007018755333458,0.008483895608475919,0.12630511552396406,0.4373704359736224,0.12910383595177236,0.9970720678983748,35,158,53805,8045,0.12667058592984518,0.1300144205558469,0.04980117434169503,62043,0.13023225827248844,,,,,,UISEM sensor ablation: coh_only,False,,2026-04-29T09:20:54.347356,20260429_084422
