experiment_name,record_type,notebook,cell_id,parquet_name,tier_selection,n_cities,cities,n_buildings,n_damaged,n_undamaged,damage_rate,classifier_name,feature_set_name,n_features,cv_method,n_folds,imputation,scaling,class_weight,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,average_precision,log_loss,brier_score,specificity,tp,fp,tn,fn,precision_at_recall_80,precision_at_recall_90,threshold_at_recall_90,n_samples,prevalence,mean_best_auc,mean_jm,mean_auc,auc_mean,auc_std,note,is_reference,reference_paper,timestamp,run_id
B0_single_s1_vh_max,experiment,NB09b,cell_b0,bda_product_prepost,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",368288.0,6431.0,361857.0,0.017461877660960988,unsupervised_change,s1_vh_max,2,unsupervised,0.0,none,none,balanced,0.6386515402482936,0.05744591338492332,0.03128819020108877,0.350334318146478,0.7992522156573116,0.578782399347712,0.052038575601682215,0.03226089744054097,,,0.8072304805489461,2253.0,69755.0,292102.0,4178.0,0.02152350433607624,0.020707296567268305,-3.4000959396362305,368288.0,0.017461877660960988,,,,,,"Single-feature pre/post change: s1_vh_max, direction=drop",False,,2026-06-28T00:35:55.212370,20260628_003554
B0_single_s1_vh_mean,experiment,NB09b,cell_b0,bda_product_prepost,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",368288.0,6431.0,361857.0,0.017461877660960988,unsupervised_change,s1_vh_mean,2,unsupervised,0.0,none,none,balanced,0.6443217759831361,0.058581048211588195,0.03191830699049984,0.35577670657751514,0.800324745851073,0.5820010276324901,0.054257491911037695,0.030548522633454308,,,0.808225348687465,2288.0,69395.0,292462.0,4143.0,0.021951157075568297,0.0210169319201008,-2.8576064427693684,368288.0,0.017461877660960988,,,,,,"Single-feature pre/post change: s1_vh_mean, direction=drop",False,,2026-06-28T00:35:56.869205,20260628_003554
B0_single_s1_vh_std,experiment,NB09b,cell_b0,bda_product_prepost,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",368288.0,6431.0,361857.0,0.017461877660960988,unsupervised_change,s1_vh_std,2,unsupervised,0.0,none,none,balanced,0.5540985559059423,0.05512358938674251,0.034219818195477425,0.1416575960192816,0.9151995177687028,0.5353023331353949,0.035712473188724767,0.024778188728755632,,,0.9289470702515082,911.0,25711.0,336146.0,5520.0,0.018346366563613218,0.0178951827083314,-0.7608289246717623,368288.0,0.017461877660960988,,,,,,"Single-feature pre/post change: s1_vh_std, direction=drop",False,,2026-06-28T00:35:58.480296,20260628_003554
B0_single_s1_vv_max,experiment,NB09b,cell_b0,bda_product_prepost,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",368288.0,6431.0,361857.0,0.017461877660960988,unsupervised_change,s1_vv_max,2,unsupervised,0.0,none,none,balanced,0.6427048589306857,0.059028151335843645,0.03197192582616803,0.38392162960659304,0.7862623816143888,0.5886672485602779,0.057059843788631506,0.032513874388445,,,0.7934128675139627,2469.0,74755.0,287102.0,3962.0,0.02143964396439644,0.020898626496627624,-3.739469051361084,368288.0,0.017461877660960988,,,,,,"Single-feature pre/post change: s1_vv_max, direction=drop",False,,2026-06-28T00:36:00.061315,20260628_003554
B0_single_s1_vv_mean,experiment,NB09b,cell_b0,bda_product_prepost,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",368288.0,6431.0,361857.0,0.017461877660960988,unsupervised_change,s1_vv_mean,2,unsupervised,0.0,none,none,balanced,0.6443941238963125,0.05735603271238137,0.031109119190108354,0.3669724770642202,0.7893686462768268,0.5819240192023749,0.05306752759273815,0.030210827984479997,,,0.7968755613405295,2360.0,73502.0,288355.0,4071.0,0.021891753893285678,0.021085226134314492,-3.0381559133529663,368288.0,0.017461877660960988,,,,,,"Single-feature pre/post change: s1_vv_mean, direction=drop",False,,2026-06-28T00:36:01.619889,20260628_003554
B0_single_s1_vv_std,experiment,NB09b,cell_b0,bda_product_prepost,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",368288.0,6431.0,361857.0,0.017461877660960988,unsupervised_change,s1_vv_std,2,unsupervised,0.0,none,none,balanced,0.575453527094453,0.05966567587466936,0.036177248677248676,0.1701135126729902,0.906369471717786,0.5447839413847324,0.04273463249136615,0.027689622979127415,,,0.9194543700964746,1094.0,29146.0,332711.0,5337.0,0.01854889589905363,0.01814260817232343,-0.8476990443873155,368288.0,0.017461877660960988,,,,,,"Single-feature pre/post change: s1_vv_std, direction=drop",False,,2026-06-28T00:36:03.208302,20260628_003554
B1_PWTT_VV,experiment,NB09b,cell_b1,bda_scene_card,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",368288.0,6431.0,361857.0,0.017461877660960988,unsupervised_ttest,pwtt_VV,1,unsupervised,0.0,none,none,balanced,0.6177327750532944,0.05724786861602522,0.030938073567495537,0.3826776551080703,0.7799140889738465,0.5848257574738653,0.054000941653291355,0.030394582291388934,,,0.7869738598396604,2461.0,77085.0,284772.0,3970.0,0.021132227365515656,0.017225216431213712,-2.5004867476410406,368288.0,0.017461877660960988,,,,,,"Ballinger 2024 PWTT VV, direction=-t, paper AUC=0.87",False,,2026-06-28T00:36:31.607199,20260628_003554
B1_PWTT_VH,experiment,NB09b,cell_b1,bda_scene_card,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",368288.0,6431.0,361857.0,0.017461877660960988,unsupervised_ttest,pwtt_VH,1,unsupervised,0.0,none,none,balanced,0.6245768250726893,0.058691575037693525,0.03185713525310055,0.372259368682942,0.7914919845338431,0.5856010224667525,0.05564426838818779,0.031172218183679552,,,0.798942676250563,2394.0,72754.0,289103.0,4037.0,0.021374356588245557,0.01739647922671628,-2.1845281412409414,368288.0,0.017461877660960988,,,,,,"Ballinger 2024 PWTT VH, direction=-t, paper AUC=0.87",False,,2026-06-28T00:36:33.050490,20260628_003554
B1_PWTT_VV+VH,experiment,NB09b,cell_b1,bda_scene_card,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",368288.0,6431.0,361857.0,0.017461877660960988,unsupervised_ttest,pwtt_vv+vh,2,unsupervised,0.0,none,none,balanced,0.5016537920955155,0.03446588927245742,0.017544797622799514,0.9695226247861919,0.05145701190372752,0.5023317891283808,0.0033211325314188894,0.022222162939964284,,,0.03514095347056986,6235.0,349141.0,12716.0,196.0,0.017316061025231973,0.01752240251876968,0.9413209363545746,368288.0,0.017461877660960988,,,,,,"Ballinger 2024 PWTT VV+VH combined, paper AUC=0.87",False,,2026-06-28T00:36:34.557512,20260628_003554
B2_CCD_exact_vv,experiment,NB09b,cell_b2,bda_temporal_coh,"[0, 1, 2]",12,"Avdiivka,Borodyanka,Bucha,Dmytrivka,Hostomel,Irpin,Lysychansk,Mariupol,Moschun,Okhtyrka,Sievierodonetsk,Volnovakha",101911.0,4304.0,97607.0,0.04223292873193277,unsupervised_ccd,coh_change_vv,1,unsupervised,0.0,none,none,balanced,0.47994367076825006,0.00046425255338904364,0.25,0.00023234200743494423,0.9577474463011844,0.5001008032534536,0.006472158652476087,0.04048166468868739,,,0.9999692644994723,1.0,3.0,97604.0,4303.0,0.04096732368230102,0.041695816426472646,-0.14549341549475991,101911.0,0.04223292873193277,,,,,,Scher & Van Den Hoek 2025 CCD exact per-date vv,False,,2026-06-28T00:36:40.361310,20260628_003554
