experiment_name,record_type,notebook,cell_id,parquet_name,tier_selection,n_cities,cities,n_buildings,n_damaged,n_undamaged,damage_rate,classifier_name,feature_set_name,n_features,cv_method,n_folds,imputation,scaling,class_weight,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,average_precision,log_loss,brier_score,specificity,tp,fp,tn,fn,precision_at_recall_80,precision_at_recall_90,threshold_at_recall_90,n_samples,prevalence,mean_best_auc,mean_jm,mean_auc,auc_mean,auc_std,note,is_reference,reference_paper,timestamp,run_id
E1_base_RF,experiment,NB09cV3_v1,cell_e1,bda_fusion_composite_blockstats_v3,[],19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,RF,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6591263692229163,0.021110711287033707,0.3424124513618677,0.01089108910891089,0.8684621955740374,0.503879656816561,0.04065981778373979,0.2203472206362627,0.3764988379532693,0.11115140953552631,0.9968682245242111,88,169,53794,7992,0.16621666795237727,0.15100608426604648,0.11750567630418524,62043,0.13023225827248844,,,,,,E1 stacking base model: RF,False,,2026-04-29T09:03:23.685000,20260429_090246
E1_base_GBM,experiment,NB09cV3_v1,cell_e1,bda_fusion_composite_blockstats_v3,[],19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,GBM,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6321186060195628,0.05060159676149781,0.2767527675276753,0.027846534653465347,0.8639169608174976,0.5084750898718099,0.05016497829064727,0.1953931368166553,0.3847573049736962,0.11391347703231455,0.9891036450901544,225,588,53375,7855,0.15879722890974304,0.14709630438740215,0.056227476058181014,62043,0.13023225827248844,,,,,,E1 stacking base model: GBM,False,,2026-04-29T10:07:21.271052,20260429_090246
E1_base_XGB,experiment,NB09cV3_v1,cell_e1,bda_fusion_composite_blockstats_v3,[],19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,XGB,all_multimodal,179,GroupKFold,5,median,none,balanced,0.602301184823558,0.14886950630874757,0.23572003218020918,0.10878712871287129,0.8379994519929727,0.5279865817943097,0.07925943444524938,0.18352996425959023,0.47562530978322537,0.13032189226481836,0.9471860348757482,879,2850,51113,7201,0.150133550110324,0.14214229867083658,0.007745320443063974,62043,0.13023225827248844,,,,,,E1 stacking base model: XGB,False,,2026-04-29T10:07:32.979083,20260429_090246
E1_base_LGBM,experiment,NB09cV3_v1,cell_e1,bda_fusion_composite_blockstats_v3,[],19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,LGBM,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6397770070912174,0.26428650381341884,0.23876572798082685,0.2959158415841584,0.785439130925326,0.5773261916443297,0.14147633718541883,0.21310646959053212,0.4834044011303164,0.15682974052694448,0.8587365417045012,2391,7623,46340,5689,0.15897688145597638,0.14640922909661963,0.12872787362721227,62043,0.13023225827248844,,,,,,E1 stacking base model: LGBM,False,,2026-04-29T10:07:41.045741,20260429_090246
E1_stacking_LogReg,experiment,NB09cV3_v1,cell_e1,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,LogReg_meta,oof_predictions,4,GroupKFold,5,median,none,balanced,0.6487429895584855,0.03317256793318433,0.334916864608076,0.017450495049504952,0.8675273600567348,0.5061308773081226,0.050268670731816775,0.20783927902189447,0.3737175357784815,0.11070966383957322,0.9948112595667402,141,280,53683,7939,0.1647760585281297,0.15102176441269313,0.07885989091737387,62043,0.13023225827248844,,,,,,Stacking meta-learner: LogReg on base model OOF predictions,False,,2026-04-29T10:07:41.778267,20260429_090246
E1_soft_voting,experiment,NB09cV3_v1,cell_e1,bda_fusion_composite_blockstats_v3,[],19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,SoftVoting,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6479789507405422,0.08395381461098522,0.32771693344566133,0.048143564356435645,0.8631755395451541,0.5166778270608225,0.08194946524136903,0.2139940554536972,0.38648261896894787,0.11565529153239178,0.9852120897652095,389,798,53165,7691,0.16257545271629778,0.15114418140627273,0.09522013123419747,62043,0.13023225827248844,,,,,,Soft voting: average of base model OOF probabilities,False,,2026-04-29T10:07:42.272337,20260429_090246
E2_LightGBM_all,experiment,NB09cV3_v1,cell_e2,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,LightGBM,all_multimodal,179,GroupKFold,5,median,none,balanced,0.6397770070912174,0.26428650381341884,0.23876572798082685,0.2959158415841584,0.785439130925326,0.5773261916443297,0.14147633718541883,0.21310646959053212,0.4834044011303164,0.15682974052694448,0.8587365417045012,2391,7623,46340,5689,0.15897688145597638,0.14640922909661963,0.12872787362721227,62043,0.13023225827248844,,,,,,LightGBM single model on all_multimodal (F8),False,,2026-04-29T10:07:52.547271,20260429_090246
E2_LightGBM_card,experiment,NB09cV3_v1,cell_e2,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,LightGBM,card,84,GroupKFold,5,median,none,balanced,0.49403447365750974,0.13571934798015592,0.1298011748757343,0.1422029702970297,0.7641313282723272,0.4997285073674426,-0.0005225188801181042,0.1309014692332951,0.5555166380479437,0.18477432273967873,0.8572540444378556,1149,7703,46260,6931,0.12802281594739656,0.12939962276237588,0.17429657126700576,62043,0.13023225827248844,,,,,,LightGBM sensor ablation: card,False,,2026-04-29T10:07:57.347543,20260429_090246
E2_LightGBM_coh,experiment,NB09cV3_v1,cell_e2,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,LightGBM,coh,12,GroupKFold,5,median,none,balanced,0.48381799534261005,0.13637332196888985,0.11971567527123082,0.15841584158415842,0.7386973550602002,0.492000019081648,-0.014258332636448144,0.12731418729388266,0.5690423494482236,0.19152094705846295,0.8255841965791375,1280,9412,44551,6800,0.12726413608442275,0.13019426850624377,0.09761053707614345,62043,0.13023225827248844,,,,,,LightGBM sensor ablation: coh,False,,2026-04-29T10:07:59.384284,20260429_090246
E2_LightGBM_ms,experiment,NB09cV3_v1,cell_e2,bda_fusion_composite_blockstats_v3,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,LightGBM,ms,79,GroupKFold,5,median,none,balanced,0.6455003994761354,0.2787565722719306,0.222173209822085,0.374009900990099,0.7479490031107457,0.588974818738105,0.14475810711730158,0.2220407206017494,0.5135987205864974,0.17014232180847297,0.8039397364861108,3022,10580,43383,5058,0.16079601990049752,0.14620318060274634,0.1427357445808955,62043,0.13023225827248844,,,,,,LightGBM sensor ablation: ms,False,,2026-04-29T10:08:04.195429,20260429_090246
