experiment_name,record_type,notebook,cell_id,parquet_name,tier_selection,n_cities,cities,n_buildings,n_damaged,n_undamaged,damage_rate,classifier_name,feature_set_name,n_features,cv_method,n_folds,imputation,scaling,class_weight,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,average_precision,log_loss,brier_score,specificity,tp,fp,tn,fn,precision_at_recall_80,precision_at_recall_90,threshold_at_recall_90,n_samples,prevalence,mean_best_auc,mean_jm,mean_auc,auc_mean,auc_std,note,is_reference,reference_paper,timestamp,run_id
L1b_accumulator_s2__lu__urban_retained,experiment,NB09eV3_v1,cell_l1b,bda_lu_change_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,signal_s2__lu__urban_retained,s2__lu__urban_retained,1,none,0,none,none,balanced,0.5,0.0,0.0,0.0,0.8697677417275116,0.5,0.0,0.13023225827248844,,,1.0,0,0,53963,8080,0.13023225827248844,0.13023225827248844,-1.0,62043,0.13023225827248844,,,,,,A22 lu_change accumulator standalone signal: LU: urban retained mean (higher = no damage),False,,2026-04-29T17:40:11.570295,20260429_174010
L1b_accumulator_s2__lu__loss_fraction,experiment,NB09eV3_v1,cell_l1b,bda_lu_change_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,signal_s2__lu__loss_fraction,s2__lu__loss_fraction,1,none,0,none,none,balanced,0.43101608697598626,0.18611135314106475,0.11293221951993232,0.5287128712871287,0.3977725126122206,0.4534396963963023,-0.0642466660199149,0.11348718621496988,1.303221121012673,0.28197252823590907,0.37816652150547597,4272,33556,20407,3808,0.11811740348747969,0.13023225827248844,0.0,62043,0.13023225827248844,,,,,,A22 lu_change accumulator standalone signal: LU: persistent loss fraction (higher = damage),False,,2026-04-29T17:40:11.930938,20260429_174010
L1b_accumulator_s2__lu__loss_count,experiment,NB09eV3_v1,cell_l1b,bda_lu_change_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,signal_s2__lu__loss_count,s2__lu__loss_count,1,none,0,none,none,balanced,0.47405385414428625,0.230452205410493,0.13023225827248844,1.0,0.13023225827248844,0.5,0.0,0.1229046712702526,,,0.0,8080,53963,0,0,0.128445058035486,0.128445058035486,2.0,62043,0.13023225827248844,,,,,,A22 lu_change accumulator standalone signal: LU: persistent loss count (higher = damage),False,,2026-04-29T17:40:12.354197,20260429_174010
L1b_accumulator_s2__lu__date_persistent_loss,experiment,NB09eV3_v1,cell_l1b,bda_lu_change_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,signal_s2__lu__date_persistent_loss,s2__lu__date_persistent_loss,1,none,0,none,none,balanced,0.4913197353962552,0.230452205410493,0.13023225827248844,1.0,0.13023225827248844,0.5,0.0,0.12798186733362416,,,0.0,8080,53963,0,0,0.1304084769598064,0.1304084769598064,20220528.0,62043,0.13023225827248844,,,,,,A22 lu_change accumulator standalone signal: LU: persistent loss event date (earlier = damage during battle),False,,2026-04-29T17:40:12.178519,20260429_174010
plausibility_standalone_s2__lu__urban_retained,experiment,NB09eV3_v1,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,signal_s2__lu__urban_retained,s2__lu__urban_retained,1,none,0,none,none,balanced,0.5,0.0,0.0,0.0,0.8697677417275116,0.5,0.0,0.13023225827248844,,,1.0,0,0,53963,8080,0.13023225827248844,0.13023225827248844,-1.0,62043,0.13023225827248844,,,,,,Standalone plausibility signal vs UNOSAT: LU: urban retained mean (higher = no damage),False,,2026-04-29T17:40:14.778312,20260429_174010
plausibility_standalone_s2__lu__loss_fraction,experiment,NB09eV3_v1,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,signal_s2__lu__loss_fraction,s2__lu__loss_fraction,1,none,0,none,none,balanced,0.43101608697598626,0.18611135314106475,0.11293221951993232,0.5287128712871287,0.3977725126122206,0.4534396963963023,-0.0642466660199149,0.11348718621496988,1.303221121012673,0.28197252823590907,0.37816652150547597,4272,33556,20407,3808,0.11811740348747969,0.13023225827248844,0.0,62043,0.13023225827248844,,,,,,Standalone plausibility signal vs UNOSAT: LU: persistent loss fraction (higher = damage),False,,2026-04-29T17:40:15.220329,20260429_174010
plausibility_standalone_s2__lu__loss_count,experiment,NB09eV3_v1,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,signal_s2__lu__loss_count,s2__lu__loss_count,1,none,0,none,none,balanced,0.47405385414428625,0.230452205410493,0.13023225827248844,1.0,0.13023225827248844,0.5,0.0,0.1229046712702526,,,0.0,8080,53963,0,0,0.128445058035486,0.128445058035486,2.0,62043,0.13023225827248844,,,,,,Standalone plausibility signal vs UNOSAT: LU: persistent loss count (higher = damage),False,,2026-04-29T17:40:15.741286,20260429_174010
plausibility_standalone_s2__lu__date_persistent_loss,experiment,NB09eV3_v1,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,signal_s2__lu__date_persistent_loss,s2__lu__date_persistent_loss,1,none,0,none,none,balanced,0.4913197353962552,0.230452205410493,0.13023225827248844,1.0,0.13023225827248844,0.5,0.0,0.12798186733362416,,,0.0,8080,53963,0,0,0.1304084769598064,0.1304084769598064,20220528.0,62043,0.13023225827248844,,,,,,Standalone plausibility signal vs UNOSAT: LU: persistent loss event date (earlier = damage during battle),False,,2026-04-29T17:40:16.238773,20260429_174010
plausibility_standalone_ndvi_delta,experiment,NB09eV3_v1,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",62043,8080,53963,0.13023225827248844,signal_ndvi_delta,ndvi_delta,1,none,0,none,none,balanced,0.5995116130175737,0.0,0.0,0.0,0.8697677417275116,0.5,0.0,0.1545147927139171,,,1.0,0,0,53963,8080,0.16042886925444258,0.15197174562705063,-0.07534518837928772,62043,0.13023225827248844,,,,,,"Standalone plausibility signal vs UNOSAT: NDVI delta post-pre (negative = damage, vegetation loss)",False,,2026-04-29T17:40:16.688934,20260429_174010
plausibility_standalone_bldg_reliable,experiment,NB09eV3_v1,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",63243,8247,54996,0.13040178359660357,signal_bldg_reliable,bldg_reliable,1,none,0,none,none,balanced,0.5,0.2307175828787243,0.13040178359660357,1.0,0.13040178359660357,0.5,0.0,0.13040178359660357,31.343496699838504,0.8695982164033964,0.0,8247,54996,0,0,0.13040178359660357,0.13040178359660357,1.0,63243,0.13040178359660357,,,,,,"Standalone plausibility signal vs UNOSAT: No area data, all reliable",False,,2026-04-29T17:40:17.212656,20260429_174010
