experiment_name,record_type,notebook,cell_id,parquet_name,tier_selection,n_cities,cities,n_buildings,n_damaged,n_undamaged,damage_rate,classifier_name,feature_set_name,n_features,cv_method,n_folds,imputation,scaling,class_weight,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,average_precision,log_loss,brier_score,specificity,tp,fp,tn,fn,precision_at_recall_80,precision_at_recall_90,threshold_at_recall_90,n_samples,prevalence,mean_best_auc,mean_jm,mean_auc,auc_mean,auc_std,note,is_reference,reference_paper,timestamp,run_id
L1_landuse_transition_binary,experiment,NB09e_v2,cell_l1,bda_composite_prepost_landuse_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",480313,7186,473127,0.014961077464070304,signal_lu_plausible_damage,lu_plausible_damage,1,none,0,none,none,balanced,0.4850467302768425,0.02370471367354889,0.012744256183634574,0.16935708321736712,0.7912902628077941,0.4850467302768424,-0.009096667894475031,0.01458564307800152,7.522661426289601,0.20870973719220592,0.8007363773363178,1217,94277,378850,5969,0.014961077464070304,0.014961077464070304,0.0,480313,0.014961077464070304,,,,,,Landuse plausible-damage transition as binary damage predictor,False,,2026-04-25T00:32:02.494416,20260425_003200
L1b_accumulator_s2__lu__urban_retained_mean,experiment,NB09e_v2,cell_l1b,bda_lu_change_v2,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,signal_s2__lu__urban_retained_mean,s2__lu__urban_retained_mean,1,none,0,none,none,balanced,0.5,0.0,0.0,0.0,0.9877513176688746,0.5,0.0,0.012248682331125386,,,1.0,0,0,591263,7332,0.012248682331125386,0.012248682331125386,-1.0,598595,0.012248682331125386,,,,,,A22 lu_change accumulator standalone signal: LU: urban retained mean (higher = no damage),False,,2026-04-25T00:32:05.645954,20260425_003200
L1b_accumulator_s2__lu__loss_fraction_mean,experiment,NB09e_v2,cell_l1b,bda_lu_change_v2,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,signal_s2__lu__loss_fraction_mean,s2__lu__loss_fraction_mean,1,none,0,none,none,balanced,0.32387626181740414,0.018234726556084744,0.009292192779654988,0.48458810692853244,0.3608533315513828,0.42195352818194687,-0.03574270145597782,0.009366709513436683,0.7999359751587974,0.29836189335668556,0.35931894943536125,3553,378811,212452,3779,0.01037000371241183,0.011305134151061665,0.15625,598595,0.012248682331125386,,,,,,A22 lu_change accumulator standalone signal: LU: persistent loss fraction (higher = damage),False,,2026-04-25T00:32:07.246084,20260425_003200
L1b_accumulator_s2__lu__loss_count_mean,experiment,NB09e_v2,cell_l1b,bda_lu_change_v2,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,signal_s2__lu__loss_count_mean,s2__lu__loss_count_mean,1,none,0,none,none,balanced,0.34903426364665796,0.024200935096141945,0.012248682331125386,1.0,0.012248682331125386,0.5,0.0,0.009747532632650536,,,0.0,7332,591263,0,0,0.011186676255410956,0.01136535552193646,2.25,598595,0.012248682331125386,,,,,,A22 lu_change accumulator standalone signal: LU: persistent loss count (higher = damage),False,,2026-04-25T00:32:09.341717,20260425_003200
L1b_accumulator_s2__lu__date_persistent_loss_mean,experiment,NB09e_v2,cell_l1b,bda_lu_change_v2,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,signal_s2__lu__date_persistent_loss_mean,s2__lu__date_persistent_loss_mean,1,none,0,none,none,balanced,0.3687673178881253,0.024200935096141945,0.012248682331125386,1.0,0.012248682331125386,0.5,0.0,0.017800984049630063,,,0.0,7332,591263,0,0,0.01171051673653912,0.011708949477098437,20220595.6,598595,0.012248682331125386,,,,,,A22 lu_change accumulator standalone signal: LU: persistent loss event date (earlier = damage during battle),False,,2026-04-25T00:32:11.083779,20260425_003200
plausibility_standalone_lu_plausible_damage,experiment,NB09e_v2,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",480313,7186,473127,0.014961077464070304,signal_lu_plausible_damage,lu_plausible_damage,1,none,0,none,none,balanced,0.4850467302768425,0.02370471367354889,0.012744256183634574,0.16935708321736712,0.7912902628077941,0.4850467302768424,-0.009096667894475031,0.01458564307800152,7.522661426289601,0.20870973719220592,0.8007363773363178,1217,94277,378850,5969,0.014961077464070304,0.014961077464070304,0.0,480313,0.014961077464070304,,,,,,Standalone plausibility signal vs UNOSAT: Landuse transition urban -> bare_soil/vegetation/sparse_veg,False,,2026-04-25T00:32:24.269727,20260425_003200
plausibility_standalone_lu_implausible_damage,experiment,NB09e_v2,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",19,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",480313,7186,473127,0.014961077464070304,signal_lu_implausible_damage,lu_implausible_damage,1,none,0,none,none,balanced,0.585300977367736,0.0,0.0,0.0,0.9850389225359297,0.5,0.0,0.018312981455081177,,,1.0,0,0,473127,7186,0.014961077464070304,0.014961077464070304,-1.0,480313,0.014961077464070304,,,,,,Standalone plausibility signal vs UNOSAT: Landuse transition same-class (no change = no damage),False,,2026-04-25T00:32:26.226739,20260425_003200
plausibility_standalone_s2__lu__urban_retained_mean,experiment,NB09e_v2,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,signal_s2__lu__urban_retained_mean,s2__lu__urban_retained_mean,1,none,0,none,none,balanced,0.5,0.0,0.0,0.0,0.9877513176688746,0.5,0.0,0.012248682331125386,,,1.0,0,0,591263,7332,0.012248682331125386,0.012248682331125386,-1.0,598595,0.012248682331125386,,,,,,Standalone plausibility signal vs UNOSAT: LU: urban retained mean (higher = no damage),False,,2026-04-25T00:32:28.036375,20260425_003200
plausibility_standalone_s2__lu__loss_fraction_mean,experiment,NB09e_v2,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,signal_s2__lu__loss_fraction_mean,s2__lu__loss_fraction_mean,1,none,0,none,none,balanced,0.32387626181740414,0.018234726556084744,0.009292192779654988,0.48458810692853244,0.3608533315513828,0.42195352818194687,-0.03574270145597782,0.009366709513436683,0.7999359751587974,0.29836189335668556,0.35931894943536125,3553,378811,212452,3779,0.01037000371241183,0.011305134151061665,0.15625,598595,0.012248682331125386,,,,,,Standalone plausibility signal vs UNOSAT: LU: persistent loss fraction (higher = damage),False,,2026-04-25T00:32:30.202996,20260425_003200
plausibility_standalone_s2__lu__loss_count_mean,experiment,NB09e_v2,cell_l2b,bda_plausibility_v2,"[0, 1, 2]",21,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha",598595,7332,591263,0.012248682331125386,signal_s2__lu__loss_count_mean,s2__lu__loss_count_mean,1,none,0,none,none,balanced,0.34903426364665796,0.024200935096141945,0.012248682331125386,1.0,0.012248682331125386,0.5,0.0,0.009747532632650536,,,0.0,7332,591263,0,0,0.011186676255410956,0.01136535552193646,2.25,598595,0.012248682331125386,,,,,,Standalone plausibility signal vs UNOSAT: LU: persistent loss count (higher = damage),False,,2026-04-25T00:32:32.836074,20260425_003200
