city,tier,battle_start,battle_stop,unosat_first,unosat_last,n_unosat_pts,days_last_assess_minus_battlestop,exposure
Avdiivka,2,2022-02-24,2024-02-17,2022-09-20,2022-09-20,722,-515,EXPOSED (assessment >1yr before window end)
Kramatorsk,2,2022-02-24,ongoing,2022-07-24,2022-07-24,55,OPEN-ENDED,EXPOSED (ongoing)
Borodyanka,1,2022-02-28,2022-04-01,2022-05-02,2022-05-02,167,31,OK
Bucha,1,2022-02-27,2022-03-31,2022-03-31,2022-03-31,694,0,OK
Chernihiv,1,2022-02-24,2022-04-04,2022-04-28,2022-04-28,1027,24,OK
Dmytrivka,1,2022-02-27,2022-03-31,2022-03-31,2022-03-31,1333,0,OK
Hostomel,1,2022-02-24,2022-04-02,2022-03-31,2022-03-31,1409,-2,OK
Irpin,1,2022-02-27,2022-03-28,2022-03-31,2022-03-31,1211,3,OK
Kharkiv,2,2022-02-24,2022-09-11,2022-04-24,2022-10-17,572,36,OK
Kherson,2,2022-03-02,2022-11-11,2022-10-14,2022-10-14,77,-28,OK
Lysychansk,0,2022-06-25,2022-07-03,2022-07-25,2022-09-21,2379,80,OK
Makariv,1,2022-02-28,2022-03-22,2022-03-16,2022-03-16,143,-6,OK
Mariupol,0,2022-02-24,2022-05-20,2022-03-14,2022-05-12,6093,-8,OK
Moschun,1,2022-02-27,2022-03-31,2022-03-31,2022-03-31,538,0,OK
Mykolaiv,2,2022-02-24,2022-04-30,2022-07-21,2022-07-21,198,82,OK
Okhtyrka,1,2022-02-24,2022-04-01,2022-03-25,2022-03-25,68,-7,OK
Rubizhne,0,2022-03-04,2022-05-12,2022-07-09,2022-07-09,2687,58,OK
Sievierodonetsk,0,2022-05-05,2022-06-25,2022-07-09,2022-09-21,1580,88,OK
Trostianets,1,2022-03-01,2022-03-26,2022-03-25,2022-03-25,58,-1,OK
Volnovakha,1,2022-02-24,2022-03-12,2022-05-30,2022-05-30,978,79,OK
