experiment,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
NB08b_BDA_RGB_XGBoost,21,0.6614973072304127,0.6999579407289405,0.7484778363444141,0.0686045866147291,-0.0869805291140014
NB08b_BDA_RGB_AdaBoost,21,0.7120745482232277,0.7327137877553619,0.7483667021919614,0.0692392147279374,-0.0362921539687337
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,12,0.738145489916821,0.7625619112856435,0.745561604421809,0.0715892909648204,-0.0074161145049879
NB08b_BDA_RGB_LogReg,21,0.7307332909867456,0.7398393396515991,0.7445685280399464,0.0714665893046812,-0.0138352370532008
NB08b_BDA_COH_DROP+RGB_AdaBoost,12,0.7308881099141904,0.7708470417488744,0.7440855774155036,0.0741717716044869,-0.0131974675013132
NB08b_BDA_RGB_ExtraTrees,21,0.7503258911816039,0.7568175029975893,0.7435193705167227,0.070002836042418,0.0068065206648811
NB08b_BDA_RGB_GBM,21,0.6586281002167219,0.6976380978479867,0.7433939782825609,0.0669046057449855,-0.084765878065839
NB08b_BDA_RGB_UISEM_voting,21,0.7194379004271197,0.7171197736653437,0.7420904821111437,0.0675256549404605,-0.0226525816840239
NB08b_BDA_RGB_RF-200,21,0.7375270228738773,0.7236760480330825,0.7417691335800561,0.0669951168207215,-0.0042421107061788
CLF_F7_GBM,19,0.798507187093856,0.7721438326733973,0.7413011477980632,0.081384785486443,0.0572060392957928
NB08b_BDA_RGB_LightGBM,21,0.7306397313853406,0.7364653538892277,0.7400088855437376,0.0656789593198841,-0.009369154158397
NB08b_BDA_RGB+CARD_AdaBoost,21,0.7373420349746298,0.7495703113726226,0.7315464234471823,0.0760305841210441,0.0057956115274474
NB08b_BDA_RGB+CARD_LogReg,21,0.7506362133169763,0.7572025000953637,0.7280736118693542,0.0967394517687955,0.0225626014476221
NB08b_xBD_RGB_UISEM_voting,19,0.6601537285910077,0.6601537285910077,0.7261209668862749,0.1087434143843989,-0.0659672382952671
NB08b_BDA_COH_DROP+RGB+CARD_GBM,12,0.6678098875632619,0.7339830587963867,0.7254651072215347,0.066402493111839,-0.0576552196582728
NB08b_BDA_COH_DROP+RGB_GBM,12,0.6484560213106905,0.7428513405650019,0.724600576982596,0.0679548042799271,-0.0761445556719054
NB08b_xBD_RGB_RF-200,19,0.6591889541265823,0.6591889541265823,0.7236367862934947,0.1045363066385262,-0.0644478321669124
NB08b_BDA_COH_DROP+RGB_XGBoost,12,0.6259719228041416,0.7455664223094587,0.7182239647289804,0.0823617933039778,-0.0922520419248388
NB08b_BDA_RGB+CARD_GBM,21,0.6425051805635719,0.6674491726115259,0.7180980266841017,0.0860543747434495,-0.0755928461205298
NB08b_xBD_RGB_GBM,19,0.6528220969725271,0.6528220969725271,0.71769350606894,0.1084501779752083,-0.0648714090964128
E1_base_GBM,15,0.7535045534130647,0.7535045534130647,0.7170274474437667,0.0967129542055345,0.0364771059692979
NB08b_xBD_RGB_ExtraTrees,19,0.6687834585536423,0.6687834585536423,0.7167036070457885,0.1009608237217345,-0.0479201484921462
NB08b_xBD_RGB_LightGBM,19,0.6769932669219609,0.6769932669219609,0.7165195293348084,0.1039381761618653,-0.0395262624128475
NB08b_xBD_RGB_XGBoost,19,0.6524126952169857,0.6524126952169857,0.7160904424540249,0.1074947308516739,-0.0636777472370391
NB08b_BDA_RGB+CARD_XGBoost,21,0.6561671097475961,0.6820253551128108,0.7115402867119816,0.1032323657712011,-0.0553731769643854
NB08b_BDA_COH_DROP+RGB+CARD_XGBoost,12,0.652526431252857,0.7290503964772408,0.7111780171648502,0.0832990391690074,-0.0586515859119931
CLF_F7_LightGBM,19,0.8220932086502869,0.800123955166135,0.7110066267884108,0.1389643771203411,0.1110865818618761
E7c_HistGBM_imputed,15,0.7826012775509006,0.7826012775509006,0.7086757281822835,0.1365945022906388,0.073925549368617
NB08b_BDA_COH_DROP+RGB_LogReg,12,0.7391496767529475,0.7495694751361774,0.7062392967614676,0.0691828539987238,0.0329103799914799
NB08b_BDA_COH_DROP+RGB+CARD_LogReg,12,0.7483272546189619,0.7322160667470814,0.7061198670756462,0.063389580570362,0.0422073875433156
B5_UISEM_XGBoost_Optuna_bldg,19,0.6854187900472127,0.6586872008880941,0.7042102140371825,0.0905963302774792,-0.0187914239899698
C10_leaky_A11_composite_vs_scenes_bands,16,0.7631774430611865,0.7199133691989943,0.7036776940433174,0.1178363495635219,0.0594997490178691
C_A11_composite_vs_scenes_bands,16,0.7631774430611865,0.7199133691989943,0.7036776940433174,0.1178363495635219,0.0594997490178691
B6_UISEM_Model1_full_F8_bldg,19,0.676224911467213,0.6497369108905002,0.7034469921339159,0.103149054926549,-0.0272220806667029
B5_UISEM_Tuned_Voting_bldg,19,0.6938868274215679,0.6643738062772474,0.7025751658973233,0.0782207042076885,-0.0086883384757553
NB08b_BDA_RGB+CARD_ExtraTrees,21,0.732911756113963,0.741358050783175,0.7010585845747614,0.1390524810773869,0.0318531715392015
CLF_A9_GBM,19,0.6170034475303188,0.6741786483237663,0.6997865955986944,0.0832013173516876,-0.0827831480683756
B5_UISEM_Model2_full_F8_bldg,19,0.6678047704177094,0.6463364998882547,0.6997430578901911,0.1060149568923283,-0.0319382874724817
R4_tier2_ms,5,0.465748159606125,0.465748159606125,0.6979706468620057,0.1898881756784827,-0.2322224872558806
R4b_tier0_all,4,0.6657057838845009,0.6648022842416832,0.6960900067583933,0.0368725384886876,-0.0303842228738924
E5_HistGBM_native_NaN,15,0.7595608215202697,0.7595608215202697,0.6932212237732146,0.1343303223946585,0.0663395977470551
E7b_NearestCentroid,15,0.6782506463974484,0.6782506463974484,0.6928549427343054,0.1035553085507787,-0.014604296336857
E7b_LDA,15,0.6858962212130549,0.6858962212130549,0.6922710612652535,0.1198725712957591,-0.0063748400521985
B5_UISEM_ExtraTrees_Optuna_bldg,19,0.7046430403352568,0.6655917289414319,0.691204277800817,0.0888725265360947,0.0134387625344398
R4_tier0_ms,4,0.6538650462980471,0.6709453567182494,0.6909201720015613,0.0512746109794307,-0.0370551257035142
R4b_tier2_all,5,0.5024082711222826,0.5024082711222826,0.6900925043251055,0.2083657344636397,-0.1876842332028229
B5_sub_GB_full_F8_bldg,19,0.6605018501104444,0.6365364820008764,0.6887410220329729,0.0949416942848382,-0.0282391719225285
B5_UISEM_LightGBM_Optuna_bldg,19,0.694945727109639,0.664413688204252,0.6883592015797153,0.0601260079345109,0.0065865255299236
B5_sub_RF_full_F8_bldg,19,0.6863352796143602,0.6684595442711596,0.6877328504902591,0.1240270253414108,-0.0013975708758988
NB08b_BDA_COH_DROP+RGB_UISEM_voting,12,0.6247775332838771,0.7295710584088348,0.6872196629329165,0.0930994988201244,-0.0624421296490393
E7b_RidgeClassifier,15,0.740155972074616,0.740155972074616,0.6868032211505825,0.1098282937295566,0.0533527509240335
NB08b_BDA_COH_DROP+RGB+CARD_ExtraTrees,12,0.6475965151072114,0.7205053162512662,0.6865561273052605,0.0897584213490215,-0.0389596121980491
NB08b_BDA_COH_DROP+CARD_UISEM_voting,12,0.619354249117956,0.6852428813303321,0.6835850446027165,0.0881098295450658,-0.0642307954847605
CLF_A9_LightGBM,19,0.7104707759919224,0.7346284943736674,0.6827538603174821,0.1423775514986192,0.0277169156744403
B5_UISEM_all_features,19,0.6546288614879685,0.6342612499671862,0.6820338372268634,0.0985838922232575,-0.0274049757388948
B7_UISEM_all_multimodal,19,0.6458528331568587,0.6313826454671866,0.6813479418634525,0.1065086306129915,-0.0354951087065937
B6_UISEM_no_AdaBoost,19,0.6458528331568587,0.6313826454671866,0.6813479418634525,0.1065086306129915,-0.0354951087065937
B5_UISEM_XGBoost_Optuna,19,0.6643252215535287,0.6411190902980336,0.680667342774956,0.0828347203886725,-0.0163421212214273
B5_UISEM_RF_Optuna_bldg,19,0.7052193651974241,0.670847032559307,0.6795070939703907,0.0734832748944534,0.0257122712270334
NB08b_BDA_COH_DROP+CARD_AdaBoost,12,0.686816432348238,0.705564439100292,0.6794403035222932,0.0803159999895383,0.0073761288259447
NB08b_BDA_CARD_LogReg,21,0.6932105872848352,0.6896980483661007,0.6793942002806833,0.0897365309541492,0.0138163870041518
B3_logratio_NDVI,5,0.7368448975934581,0.7368448975934581,0.6793174552251507,0.1111460396202845,0.0575274423683073
E1_stacking_LogReg,15,0.6361581549002894,0.6361581549002894,0.6785258511149732,0.13158734632981,-0.0423676962146838
B3_logratio_SAVI,5,0.7406502646425871,0.7406502646425871,0.6780876128425295,0.1153605851283161,0.0625626518000576
NB08b_xBD_RGB_AdaBoost,19,0.6434600530779407,0.6434600530779407,0.6780665160398908,0.102722517811298,-0.03460646296195
B5_UISEM_Tuned_Voting,19,0.6716374764850798,0.6457759644180547,0.6769038805078246,0.0707366497042497,-0.0052664040227448
R5_ExtraTrees_all_multimodal,19,0.661729654146965,0.6403187576486971,0.6763288022335092,0.1179942207979137,-0.0145991480865441
NB08b_BDA_COH_DROP+CARD_RF-200,12,0.6156181207239313,0.6873640854811933,0.6760103146238422,0.0908658109376595,-0.0603921938999109
NB08b_BDA_COH_DROP+RGB+CARD_LightGBM,12,0.6557904534198029,0.7097458316772643,0.6751537815238146,0.0943250518449533,-0.0193633281040116
B6_UISEM_Model1_full_F8,19,0.6574166008135756,0.6358481514754563,0.6746625410033595,0.0894090472725378,-0.0172459401897839
D4_Mariupol_within_5fold,1,0.6746283423637919,,0.6746283423637919,0.0,0.0
B5_UISEM_Model2_full_F8,19,0.6495181310516576,0.6337155867654192,0.6735656243034984,0.095678054173403,-0.0240474932518408
CLF_A17_GBM,21,0.7989497237763689,0.8069123632513564,0.6735487711808069,0.0992028289788973,0.1254009525955619
R3b_card_ms,19,0.6674139303002442,0.6489710574470906,0.6729573999016752,0.101817014848266,-0.005543469601431
E7d_MLP_128_64,15,0.7153629115379109,0.7153629115379109,0.6726591701180558,0.0907156714594445,0.0427037414198551
B5_sub_RF,19,0.6591263692229165,0.6444443615592012,0.6714079838743899,0.1158043785949983,-0.0122816146514734
R5_RF-200_all_multimodal,19,0.6591263692229165,0.6444443615592012,0.6714079838743899,0.1158043785949983,-0.0122816146514734
R3_ms_plus_blocks_F8,19,0.6591263692229165,0.6444443615592012,0.6714079838743899,0.1158043785949983,-0.0122816146514734
R3b_all_multimodal,19,0.6656729409204656,0.6472602818251942,0.6705127229912509,0.1147791888422301,-0.0048397820707852
NB08b_BDA_CARD_ExtraTrees,21,0.6440500268718948,0.6726159497667223,0.6702584574746865,0.1395257163149914,-0.0262084306027916
B7_UISEM_card+ms,19,0.6540957106106623,0.6334771979156406,0.6702502922399514,0.0981365732949257,-0.016154581629289
B5_sub_XGB_full_F8_bldg,19,0.6254105889838554,0.6095392899933156,0.6694750065624988,0.105179977032295,-0.0440644175786434
NB08b_BDA_COH_DROP+CARD_XGBoost,12,0.6108296729773947,0.6756243717720128,0.6686794210846996,0.0902756905959015,-0.0578497481073049
X_F3_fusion_card_cohdrop_LGBM150_BASELINE,20,0.8410882210706746,0.8182403388513391,0.6681831482628742,0.1533096447312816,0.1729050728078004
NB08b_BDA_COH_DROP+CARD_GBM,12,0.6050467475819655,0.671180954725028,0.6670060330102047,0.0698186906148887,-0.0619592854282391
E7_LogReg,15,0.6551310950496604,0.6551310950496604,0.6664120835092885,0.1094422076805638,-0.0112809884596281
NB08b_BDA_COH_DROP+CARD_ExtraTrees,12,0.6101740981482285,0.6876465730799881,0.6658805513732656,0.0881353475379167,-0.055706453225037
NB08b_xBD_RGB_LogReg,19,0.6316143421001974,0.6316143421001974,0.6658103678560717,0.1181879104836915,-0.0341960257558743
B5_sub_RF_full_F8,19,0.6635639715918297,0.6482401850516513,0.6636814086919575,0.1132438682955893,-0.0001174371001277
R5_XGBoost_all_multimodal,19,0.6332572873088876,0.6213554942579856,0.6636770744918806,0.1025790300563133,-0.0304197871829929
