A,B,n_pair_cities,wilcoxon_p,p_holm,cliffs_delta,holm_sig_0.05,effect_mag
NB08b_BDA_RGB_AdaBoost,B5_UISEM_RF_Optuna_bldg,19,0.000335693359375,0.018463134765625,0.5623268698060941,True,large
NB08b_BDA_RGB_XGBoost,B5_UISEM_RF_Optuna_bldg,19,0.0004196166992187,0.0226593017578125,0.5512465373961218,True,large
NB08b_BDA_RGB_GBM,B5_UISEM_RF_Optuna_bldg,19,0.0004196166992187,0.0226593017578125,0.5346260387811634,True,large
NB08b_BDA_RGB_RF-200,B5_UISEM_RF_Optuna_bldg,19,0.0007896423339843,0.0410614013671875,0.5290858725761773,True,large
NB08b_BDA_RGB_LightGBM,B5_UISEM_RF_Optuna_bldg,19,0.0009651184082031,0.04632568359375,0.5235457063711911,True,large
NB08b_BDA_RGB_UISEM_voting,B5_UISEM_RF_Optuna_bldg,19,0.0007896423339843,0.0410614013671875,0.5069252077562327,True,large
NB08b_BDA_RGB_LogReg,B5_UISEM_RF_Optuna_bldg,19,0.0007896423339843,0.0410614013671875,0.4958448753462603,True,large
NB08b_BDA_RGB_ExtraTrees,B5_UISEM_RF_Optuna_bldg,19,0.0007896423339843,0.0410614013671875,0.4958448753462603,True,large
NB08b_BDA_RGB_AdaBoost,C_A11_composite_vs_scenes_bands,16,0.09344482421875,1.0,0.4375,False,medium
NB08b_BDA_RGB_XGBoost,C_A11_composite_vs_scenes_bands,16,0.09344482421875,1.0,0.4296875,False,medium
NB08b_BDA_RGB_RF-200,C_A11_composite_vs_scenes_bands,16,0.09344482421875,1.0,0.4296875,False,medium
NB08b_BDA_RGB_LightGBM,C_A11_composite_vs_scenes_bands,16,0.104583740234375,1.0,0.421875,False,medium
NB08b_BDA_RGB_GBM,C_A11_composite_vs_scenes_bands,16,0.09344482421875,1.0,0.421875,False,medium
NB08b_BDA_RGB_UISEM_voting,C_A11_composite_vs_scenes_bands,16,0.09344482421875,1.0,0.421875,False,medium
NB08b_BDA_RGB_LogReg,C_A11_composite_vs_scenes_bands,16,0.09344482421875,1.0,0.40625,False,medium
NB08b_BDA_RGB_ExtraTrees,C_A11_composite_vs_scenes_bands,16,0.09344482421875,1.0,0.40625,False,medium
E7c_HistGBM_imputed,B5_UISEM_RF_Optuna_bldg,15,0.12054443359375,1.0,0.2977777777777777,False,small
NB08b_BDA_RGB_XGBoost,E7c_HistGBM_imputed,15,0.1688232421875,1.0,0.1466666666666666,False,negligible
NB08b_BDA_RGB_AdaBoost,E7c_HistGBM_imputed,15,0.15142822265625,1.0,0.1377777777777777,False,negligible
