record_type,experiment_name,notebook,cell_id,parquet_name,parquet_fmt,n_cities,n_buildings,n_damaged,n_undamaged,damage_rate,classifier_name,feature_set_name,cv_method,n_folds,imputation,scaling,class_weight,note,is_reference,reference_paper,timestamp,run_id,n_features,tier_selection,cities,tags,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,average_precision,log_loss,brier_score,specificity,fpr,tp,fp,tn,fn,n_samples,prevalence,precision_at_recall_80,precision_at_recall_90,precision_at_recall_95,threshold_at_recall_90,mean_best_auc,mean_jm,mean_auc,auc_mean,auc_std,auc_min,auc_max,f1_mean,f1_std,is_xbd
experiment,xbd_on_xbd,NB09d,cell_2c,pixel_segmentation,,0,,,,,U-Net,patches_64x64,GroupKFold,,nan_to_zero,none,balanced,xBD eval on xBD val (VALID reference),False,,2026-06-21T23:33:46.689040,20260621_232712,0,"[0, 1, 2]",,"dl,xbd,reference",0.9643322752531085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
experiment,Ballinger_2024_PWTT,reference,,,,0,,,,,,,GroupKFold,,median,none,balanced,unsupervised PWTT on Ukraine,True,Ballinger 2024,2026-07-01T23:25:53.174145,20260628_003554,1,[],,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
experiment,NB11e_dietrich28__block_stats__LightGBM,NB11_V2,NB11e_dietrich28__block_stats__LightGBM,bda_block_stats_v2,,21,598595.0,7332.0,591263.0,0.012248682331125386,LightGBM-Optuna,dietrich28,GroupKFold,5.0,median,none,balanced,NB11 Optuna tuned; pooled_auc=0.8652 mean_folds=0.7451 baseline=0.8162 delta=0.0490,False,,2026-07-03T08:35:19.218908,20260703_083441,56,"[0, 1, 2]","Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,block_stats,LightGBM-Optuna",0.8651939589260575,0.08021049716105802,0.04225023342670402,0.789961811238407,0.7780870204395293,0.7839507887338242,0.14865714503586416,0.10379374742264777,0.44988793062901783,0.1492818133476034,0.7779397662292414,0.22206023377075854,5792.0,131296.0,459967.0,1540.0,598595.0,0.012248682331125386,0.041108658327201376,0.028623479147238066,0.023556500775974872,0.28579962039873413,,,,0.7450789544499488,0.07320010261705558,0.6359404865187989,0.858107123368731,,,False
experiment,NB11e_dietrich28__block_stats__XGBoost,NB11_V2,NB11e_dietrich28__block_stats__XGBoost,bda_block_stats_v2,,21,598595.0,7332.0,591263.0,0.012248682331125386,XGBoost-Optuna,dietrich28,GroupKFold,5.0,median,none,balanced,NB11 Optuna tuned; pooled_auc=0.8565 mean_folds=0.7443 baseline=0.8303 delta=0.0262,False,,2026-07-03T08:35:23.082718,20260703_083441,56,"[0, 1, 2]","Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,block_stats,XGBoost-Optuna",0.8565190253002182,0.004859611231101512,0.23684210526315788,0.0024549918166939444,0.9876844945246787,0.501178448360978,0.023008926927826693,0.09397396388293561,0.05386747965384969,0.011652155969228396,0.9999019049052621,9.809509473787468e-05,18.0,58.0,591205.0,7314.0,598595.0,0.012248682331125386,0.040569606683680176,0.026788070195379574,0.019602546136052813,0.006090451497584581,,,,0.7442949427327459,0.07430866951914487,0.6245812813696453,0.8497323615360897,,,False
experiment,NB11b_A15_block_stats__block_stats__LightGBM-MIA,NB11_V2,NB11b_A15_block_stats__block_stats__LightGBM-MIA,bda_block_stats_v2,,21,598595.0,7332.0,591263.0,0.012248682331125386,LightGBM-MIA-Optuna,None,GroupKFold,5.0,native_nan,none,balanced,NB11 Optuna tuned; pooled_auc=0.8531 mean_folds=0.6434 baseline=0.8227 delta=0.0305,False,,2026-07-03T08:34:51.128000,20260703_083441,780,"[0, 1, 2]","Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,block_stats,LightGBM-MIA-Optuna",0.8531321209719291,0.08053381483467624,0.04237596885380576,0.8090561920349154,0.7737151162305065,0.7911665293373171,0.15132494122810486,0.07075854623693001,1.99532562183358,0.18374230760499952,0.7732768666397187,0.2267231333602813,5932.0,134053.0,457210.0,1400.0,598595.0,0.012248682331125386,0.04363414561575769,0.027192377763553103,0.023667392611669256,0.18847743460504726,,,,0.6434434109853713,0.1472820841747259,0.39352916886933953,0.8281881914273802,,,False
experiment,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA,NB11_V2,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA,bda_fusion_ms_cohdrop_v2,,18,466704.0,6755.0,459949.0,0.01447384209263259,LightGBM-MIA-Optuna,None,GroupKFold,5.0,native_nan,none,balanced,NB11 Optuna tuned; pooled_auc=0.8514 mean_folds=0.7331 baseline=0.8126 delta=0.0388,False,,2026-07-03T08:34:48.259451,20260703_083441,88,"[0, 1, 2]","Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,fusion_ms_cohdrop,LightGBM-MIA-Optuna",0.8514322569979395,0.08982045684121347,0.04752545236678994,0.8161361954108068,0.7605977236106826,0.7879591291023627,0.15915773727420665,0.07462989453708466,2.438958961243201,0.1986468647784006,0.7597820627939185,0.24021793720608153,5513.0,110488.0,349461.0,1242.0,466704.0,0.01447384209263259,0.05008712416119823,0.03421381382733279,0.02447577770916479,0.28392476268108213,,,,0.7331032831737395,0.04877668331173687,0.6617635014162435,0.7822685169555516,,,False
experiment,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA,NB11_V2,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA,bda_rolling_stats_roll7_v2,,21,598595.0,7332.0,591263.0,0.012248682331125386,LightGBM-MIA-Optuna,None,GroupKFold,5.0,native_nan,none,balanced,NB11 Optuna tuned; pooled_auc=0.8514 mean_folds=0.6570 baseline=0.8233 delta=0.0281,False,,2026-07-03T08:34:56.421079,20260703_083441,57,"[0, 1, 2]","Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,rolling_stats_roll7,LightGBM-MIA-Optuna",0.8513759240682441,0.08068620208487236,0.04247321119944694,0.8044189852700491,0.7754742355014659,0.7897671446443673,0.15101983315209166,0.06952434084391027,2.052528918926286,0.18541069142173622,0.7751153040186854,0.22488469598131458,5898.0,132966.0,458297.0,1434.0,598595.0,0.012248682331125386,0.043106679110235815,0.026826858443272837,0.023060879928493396,0.18699532118871362,,,,0.6569741135337556,0.1496037461461402,0.37946394319338245,0.8231666734333766,,,False
experiment,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,bda_fusion_indices_card_cohdrop_v2,,18,466704.0,6755.0,459949.0,0.01447384209263259,LightGBM-MIA-Optuna,None,GroupKFold,5.0,native_nan,none,balanced,NB11 Optuna tuned; pooled_auc=0.8471 mean_folds=0.7481 baseline=0.8154 delta=0.0317,False,,2026-07-03T08:34:42.076834,20260703_083441,86,"[0, 1, 2]","Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,fusion_indices_card_cohdrop,LightGBM-MIA-Optuna",0.8471212153619858,0.08909099720530507,0.04711621429974968,0.8164322723908216,0.7583564743391957,0.7869679108486876,0.1581337807035214,0.07420506036610322,2.4819560950538566,0.19864991320244518,0.7575035493065535,0.24249645069344644,5515.0,111536.0,348413.0,1240.0,466704.0,0.01447384209263259,0.04933808089108007,0.03373123731126371,0.02419120778883013,0.2074982783803614,,,,0.7481244832633234,0.04433699648192617,0.6627170623138168,0.785672968626423,,,False
experiment,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA,NB11_V2,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA,bda_fusion_card_cohdrop_v2,,20,584986.0,6901.0,578085.0,0.011796863514682402,LightGBM-MIA-Optuna,None,GroupKFold,5.0,native_nan,none,balanced,NB11 Optuna tuned; pooled_auc=0.8457 mean_folds=0.7242 baseline=0.8417 delta=0.0040,False,,2026-07-03T08:34:45.105331,20260703_083441,32,"[0, 1, 2]","Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,fusion_card_cohdrop,LightGBM-MIA-Optuna",0.8457265262708498,0.08039685985352626,0.04227481624526579,0.8184321112882191,0.7791280475088292,0.7985454795177613,0.15357226835958304,0.04622039841054284,0.4588291402459294,0.15748130838455976,0.7786588477473037,0.2213411522526964,5648.0,127954.0,450131.0,1253.0,584986.0,0.011796863514682402,0.04469830063877847,0.03125833547224697,0.02443223986937806,0.30104719973659505,,,,0.7241969904615633,0.06927318158392029,0.6545472862146031,0.8330322680447969,,,False
experiment,NB11e_dietrich28__block_stats__RF-200,NB11_V2,NB11e_dietrich28__block_stats__RF-200,bda_block_stats_v2,,21,598595.0,7332.0,591263.0,0.012248682331125386,RF-200-Optuna,dietrich28,GroupKFold,5.0,median,none,balanced,NB11 Optuna tuned; pooled_auc=0.8452 mean_folds=0.7326 baseline=0.6845 delta=0.1607,False,,2026-07-03T08:35:21.151922,20260703_083441,56,"[0, 1, 2]","Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,block_stats,RF-200-Optuna",0.8451876717754665,0.08373789281739172,0.044441092929140585,0.723404255319149,0.8060909295934647,0.7652602735269803,0.14605456904298017,0.09794775876294039,0.49332921982199346,0.16046089713933379,0.8071162917348117,0.19288370826518825,5304.0,114045.0,477218.0,2028.0,598595.0,0.012248682331125386,0.031381738032569384,0.02271968270253707,0.018263235995826146,0.34553008765197035,,,,0.7325581513119309,0.08984556554843368,0.6262115754781171,0.8843834405188812,,,False
experiment,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA,NB11_V2,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA,bda_fusion_composite_cohdrop_v2,,18,466704.0,6755.0,459949.0,0.01447384209263259,LightGBM-MIA-Optuna,None,GroupKFold,5.0,native_nan,none,balanced,NB11 Optuna tuned; pooled_auc=0.8449 mean_folds=0.6783 baseline=0.8130 delta=0.0319,False,,2026-07-03T08:34:46.854299,20260703_083441,145,"[0, 1, 2]","Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,fusion_composite_cohdrop,LightGBM-MIA-Optuna",0.8449077177721209,0.0904497843499692,0.04788205618857093,0.8149518874907475,0.7627725496246015,0.7884790549598779,0.1599235262817132,0.0745079823868686,2.463325132634403,0.19789000988940855,0.7620062224290084,0.23799377757099158,5505.0,109465.0,350484.0,1250.0,466704.0,0.01447384209263259,0.04982298274081723,0.02968997598747849,0.023502012208742398,0.22289457068201896,,,,0.6782530627493418,0.10520535425959965,0.4785752897464308,0.756267209435066,,,False
experiment,NB11c_A22_lu_change__lu_change__LightGBM-MIA,NB11_V2,NB11c_A22_lu_change__lu_change__LightGBM-MIA,bda_lu_change_v2,,21,598595.0,7332.0,591263.0,0.012248682331125386,LightGBM-MIA-Optuna,None,GroupKFold,5.0,native_nan,none,balanced,NB11 Optuna tuned; pooled_auc=0.8430 mean_folds=0.6693 baseline=0.8127 delta=0.0302,False,,2026-07-03T08:35:04.437257,20260703_083441,11,"[0, 1, 2]","Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha","nb11_optuna,tuned,lu_change,LightGBM-MIA-Optuna",0.8429896872108534,0.0641155250611821,0.033411060252756426,0.7914620840152755,0.7169856079653187,0.7537620705008802,0.1230066672178607,0.06891240096223719,2.039130392901406,0.20360460148353576,0.7160620569864848,0.28393794301351516,5803.0,167882.0,423381.0,1529.0,598595.0,0.012248682331125386,0.02660722544837864,0.025245096236586818,0.02441186880810785,0.33524618662438105,,,,0.6692760069590632,0.10760170717903704,0.5,0.8231940376636515,,,False
