experiment_name,notebook,city,parquet_name,classifier_name,feature_set_name,n_samples,n_positive,n_negative,prevalence,threshold,auc,average_precision,log_loss,brier_score,accuracy,balanced_accuracy,f1,precision,recall,mcc,tp,fp,tn,fn,specificity,fpr,precision_at_recall_80,threshold_at_recall_80,precision_at_recall_90,threshold_at_recall_90,precision_at_recall_95,threshold_at_recall_95,n,note,is_xbd
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Avdiivka,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,12523.0,89.0,12434.0,0.007106923261199393,0.5,0.8171866556542137,0.06834815933550123,0.05834615769040693,0.012759655228889534,0.9848279166333945,0.5796050336789484,0.13636363636363635,0.11450381679389313,0.16853932584269662,0.13145121684347566,15.0,116.0,12318.0,74.0,0.9906707415152003,0.009329258484799742,0.009905020352781548,0.021627780770289026,0.009997531473710195,0.012041289623712675,0.0092804891363686,0.005036826804512673,,,False
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Bucha,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,17215.0,158.0,17057.0,0.009178042404879466,0.5,0.7877488955497687,0.05977629197012251,0.3107858212660144,0.0862632725532532,0.9032820214928841,0.6972383363896035,0.08466190214403518,0.046357615894039736,0.4873417721518987,0.12740759889701886,77.0,1584.0,15473.0,81.0,0.9071349006273084,0.09286509937269156,0.012465627864344637,0.2074982783803614,0.011562095730918499,0.14508048812005278,0.010587575375122704,0.08476572791602513,,,False
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Chernihiv,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,51375.0,333.0,51042.0,0.006481751824817518,0.5,0.6736755857773844,0.018295666437868237,0.3485261089367461,0.1036288089315579,0.8638053527980535,0.6301338660866109,0.03609312577490013,0.01891423621137742,0.3933933933933934,0.06115529215322393,131.0,6795.0,44247.0,202.0,0.8668743387798283,0.13312566122017164,0.007504215851602024,0.12403271224151724,0.007003782042302844,0.04249995522506436,0.006892353184180201,0.024739717785065604,,,False
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Chornobaivka,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,9909.0,6.0,9903.0,0.0006055101422948834,0.5,0.9998485307482581,0.7884920634920635,0.017461629894420752,0.0013701218095309568,0.9994954082147542,0.9164647076643442,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.6801870549981945,5.0,4.0,9899.0,1.0,0.999596081995355,0.00040391800464505703,0.7142857142857143,0.6004716227849427,0.6,0.48953581511097083,0.6,0.48953581511097083,,,False
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Dmytrivka,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,13649.0,144.0,13505.0,0.01055022345959411,0.5,0.8183933933933936,0.10003291116568333,0.3321075883586328,0.09535043494958058,0.886072239724522,0.7534927907359414,0.10271206001154068,0.05601006922592826,0.6180555555555556,0.16150595721582878,89.0,1500.0,12005.0,55.0,0.8889300259163273,0.11106997408367271,0.027898027898027897,0.25977250434260774,0.013535854515395743,0.181277781865587,0.012940398602059129,0.1343335170090843,,,False
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Hostomel,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,19145.0,511.0,18634.0,0.026691042047531994,0.5,0.6488795285515377,0.05814522519023781,0.41929438248240236,0.12956856962566543,0.822564638286759,0.6062276057464555,0.10203542162305049,0.058985330073349634,0.3776908023483366,0.09096927400134465,193.0,3079.0,15555.0,318.0,0.8347644091445744,0.16523559085542558,0.028936113338679497,0.181277781865587,0.02822432200269972,0.11924213537711693,0.0273972602739726,0.05021123149932574,,,False
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Irpin,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,17365.0,249.0,17116.0,0.014339188021883099,0.5,0.6055817098729106,0.0272657059420237,2.06625524421743,0.29688138039655154,0.6228044917938382,0.6048401364279272,0.042677579655071615,0.022144698923100257,0.5863453815261044,0.051365163552630946,146.0,6447.0,10669.0,103.0,0.62333489132975,0.37666510867025005,0.014071624569056498,0.08747553390753109,0.014142049025769956,0.0033647959145941733,0.014056105806298558,1.5717561976360283e-20,,,False
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Kharkiv,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,170104.0,238.0,169866.0,0.0013991440530498988,0.5,0.7751129857474409,0.005498845695587815,0.16224531376204843,0.04546554537876788,0.938949113483516,0.6316703962500545,0.014612392067558592,0.00747500242694884,0.3235294117647059,0.04126935574431044,77.0,10224.0,159642.0,161.0,0.9398113807354032,0.0601886192645968,0.003015186436396931,0.05014608136278352,0.0016111907219173913,0.030390309147086656,0.0015401838721715235,0.01628094605478909,,,False
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Kherson,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,9909.0,6.0,9903.0,0.0006055101422948834,0.5,0.9178026860547309,0.006771900087101768,0.10896404705322905,0.027460944830964337,0.9684125542436169,0.6510653337372513,0.012618296529968454,0.006430868167202572,0.3333333333333333,0.04262685165007628,2.0,309.0,9594.0,4.0,0.9687973341411693,0.031202665858830657,0.00927643784786642,0.3551043808907223,0.0019601437438745506,0.0507346263401489,0.0019601437438745506,0.0507346263401489,,,False
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,NB11_V2,Kramatorsk,bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,None,10414.0,19.0,10395.0,0.0018244670635682734,0.5,0.7126249968355232,0.019367075958105866,0.03463606019119339,0.004179954223448885,0.9974073362780872,0.5258828890407837,0.06896551724137931,0.1,0.05263157894736842,0.07132333165567535,1.0,9.0,10386.0,18.0,0.9991341991341991,0.0008658008658008658,0.002162162162162162,0.0054011347742154,0.00209351011863224,0.0018465025479135696,0.0019240506329113924,0.0004923432358898506,,,False
