experiment,n_rows,n_cities_total,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
NB08b_BDA_RGB_XGBoost,598595,21,21,0.6614973072304127,0.6999579407289405,0.7484778363444141,0.06860458661472911,-0.08698052911400145
NB08b_BDA_RGB_AdaBoost,598595,21,21,0.7120745482232277,0.7327137877553619,0.7483667021919614,0.06923921472793748,-0.036292153968733754
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,205942,12,12,0.738145489916821,0.7625619112856435,0.745561604421809,0.07158929096482046,-0.007416114504987914
NB08b_BDA_RGB_LogReg,598595,21,21,0.7307332909867456,0.7398393396515991,0.7445685280399464,0.07146658930468122,-0.013835237053200888
NB08b_BDA_COH_DROP+RGB_AdaBoost,205942,12,12,0.7308881099141904,0.7708470417488744,0.7440855774155036,0.07417177160448697,-0.013197467501313231
NB08b_BDA_RGB_ExtraTrees,598595,21,21,0.7503258911816039,0.7568175029975893,0.7435193705167227,0.07000283604241803,0.006806520664881188
NB08b_BDA_RGB_GBM,598595,21,21,0.6586281002167219,0.6976380978479867,0.7433939782825609,0.06690460574498551,-0.08476587806583902
NB08b_BDA_RGB_UISEM_voting,598595,21,21,0.7194379004271197,0.7171197736653437,0.7420904821111437,0.0675256549404605,-0.022652581684023954
NB08b_BDA_RGB_RF-200,598595,21,21,0.7375270228738773,0.7236760480330825,0.7417691335800561,0.06699511682072153,-0.004242110706178859
CLF_F7_GBM,480313,19,19,0.798507187093856,0.7721438326733973,0.7413011477980632,0.081384785486443,0.05720603929579282
NB08b_BDA_RGB_LightGBM,598595,21,21,0.7306397313853406,0.7364653538892277,0.7400088855437376,0.06567895931988414,-0.009369154158397008
NB08b_BDA_RGB+CARD_AdaBoost,598595,21,21,0.7373420349746298,0.7495703113726226,0.7315464234471823,0.07603058412104417,0.005795611527447453
NB08b_BDA_RGB+CARD_LogReg,598595,21,21,0.7506362133169763,0.7572025000953637,0.7280736118693542,0.0967394517687955,0.02256260144762212
NB08b_xBD_RGB_UISEM_voting,70931,19,19,0.6601537285910077,0.6601537285910077,0.7261209668862749,0.1087434143843989,-0.06596723829526718
NB08b_BDA_COH_DROP+RGB+CARD_GBM,205942,12,12,0.6678098875632619,0.7339830587963867,0.7254651072215347,0.06640249311183909,-0.057655219658272805
NB08b_BDA_COH_DROP+RGB_GBM,205942,12,12,0.6484560213106905,0.7428513405650019,0.724600576982596,0.0679548042799271,-0.07614455567190548
NB08b_xBD_RGB_RF-200,70931,19,19,0.6591889541265823,0.6591889541265823,0.7236367862934947,0.10453630663852628,-0.06444783216691241
NB08b_BDA_COH_DROP+RGB_XGBoost,205942,12,12,0.6259719228041416,0.7455664223094587,0.7182239647289804,0.08236179330397783,-0.09225204192483882
NB08b_BDA_RGB+CARD_GBM,598595,21,21,0.6425051805635719,0.6674491726115259,0.7180980266841017,0.0860543747434495,-0.07559284612052986
NB08b_xBD_RGB_GBM,70931,19,19,0.6528220969725271,0.6528220969725271,0.71769350606894,0.10845017797520838,-0.06487140909641287
E1_base_GBM,387066,15,15,0.7535045534130647,0.7535045534130647,0.7170274474437667,0.09671295420553452,0.036477105969297985
NB08b_xBD_RGB_ExtraTrees,70931,19,19,0.6687834585536423,0.6687834585536423,0.7167036070457885,0.10096082372173458,-0.04792014849214621
