,Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Rubizhne,Sievierodonetsk,Trostianets,Volnovakha,bata-explosion,beirut-explosion,congo-volcano,guatemala-volcano,haiti-earthquake,hawaii-wildfire,hurricane-florence,hurricane-harvey,hurricane-matthew,hurricane-michael,joplin-tornado,la_palma-volcano,libya-flood,lower-puna-volcano,marshall-wildfire,mexico-earthquake,mexico-hurricane,midwest-flooding,moore-tornado,morocco-earthquake,myanmar-hurricane,nepal-flooding,noto-earthquake,palu-tsunami,pinery-bushfire,portugal-wildfire,santa-rosa-wildfire,socal-fire,sunda-tsunami,turkey-earthquake,tuscaloosa-tornado,ukraine-conflict,woolsey-fire
ABL_FUSION_MS_COH_ALL,0.7157625973002624,,0.5452588973827888,0.469635704824373,0.9999831700831399,0.6130723188942366,0.49024608762846866,0.515166414665439,0.321561820305813,1.0,0.5430546062125008,0.4938787016035987,0.4709332436984013,0.45028480228907763,0.39814048382395795,,0.4246411134000551,0.443300706126607,0.5782233071982025,0.3518337984733213,0.39885326813967437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_FUSION_MS_COH_COH,0.5072305367847855,,0.49421893680385126,0.5,0.5,0.5021473528322844,0.4956630316360871,0.4760007545958548,0.5,0.5,0.5,0.4971845153632196,0.5,0.40627829883723676,0.4979073156514136,,0.4990262075080969,0.5,0.36346358752415187,0.5,0.4358189953411135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_FUSION_MS_COH_MS,0.8150666982340917,,0.5311503944703648,0.4590348547677806,0.9939075700966037,0.6088642580937101,0.5176105815873894,0.519610341341998,0.7462540047632208,0.9995792520784947,0.7888585099111416,0.4902984707910157,0.4723635153814229,0.4174081823462111,0.4025531914893617,,0.4566464987266622,0.42871485873066234,0.5793084661053298,0.3749856634935199,0.41554269108353703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_FUSION_MS_COH_SAR_ALL,0.5072305367847855,,0.49421893680385126,0.5,0.5,0.5021473528322844,0.4956630316360871,0.4760007545958548,0.5,0.5,0.5,0.4971845153632196,0.5,0.40627829883723676,0.4979073156514136,,0.4990262075080969,0.5,0.36346358752415187,0.5,0.4358189953411135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_PREPOST_MS_ALL,0.7867658088640607,,0.519841143210813,0.4531210415776067,0.9960281396209902,0.5933985355218232,0.506656602927082,0.521894190456615,0.7412883011987601,0.9992931434918713,0.8579023315865422,0.4895444718389218,0.45536146086646334,0.41401869347731335,0.3801573885164675,,0.45793767944329994,0.4217455866646901,0.5773526117789406,0.3219660766397777,0.41317911342774116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_PREPOST_MS_MS,0.7867658088640606,,0.5198415142675007,0.45312107099458687,0.9960281396209902,0.5933985355218232,0.5066566029270821,0.521894190456615,0.741288264095861,0.9992931434918711,0.857902331586542,0.4895445179149077,0.45536146086646345,0.41401869979208,0.3801573885164675,,0.45793767944329994,0.4217454105996108,0.5773526117789406,0.3219660766397778,0.4131793440656857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_PREPOST_SAR_ALL,0.7152678502041341,0.4620042612043509,0.6227594669548044,0.44032147817265954,0.8928270894341782,0.719580710847834,0.524912691423018,0.526736180524857,0.679391600517145,0.8410835100474604,0.47210450368345097,0.4286479031890088,0.4367216252276601,0.44269951726135137,0.3405712620227338,0.555337308262068,0.467190600550428,0.4333543496349643,0.512737748251914,0.37216296466210447,0.4071384750219106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_ROLLING_SAR_ALL,0.8170447829709404,0.4487814450715807,0.6338611119975244,0.4393616315269072,0.6139637820189168,0.6999735180385867,0.5430355617438148,0.5458580055205632,0.4295099834995989,0.662046854488539,0.5237918027391711,0.3878760120100743,0.3277157154959819,0.4646077349071079,0.3958962401632178,0.6205360568066176,0.4641048516602054,0.43836014393672357,0.5225815564912633,0.3517254782021384,0.42012662023156055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_ROLLING_SAR_CARD,0.7438723651893231,0.42625593391395356,0.6106383436623146,0.431902426700828,0.4847016055740684,0.6917029186720968,0.4812587179927187,0.488701006409372,0.7123463952357109,0.5238227473156283,0.8396395027973976,0.3745809245095885,0.379476458825668,0.44876046814648585,0.3827338968230837,0.6205360568066176,0.41228135628044793,0.4352957312317266,0.5024343910751579,0.35378356335461514,0.416426726325015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_ROLLING_SAR_COH,0.7660361314482038,0.4502174210991914,0.5351181036331645,0.5,0.5,0.531395265128142,0.571898904575879,0.4921820959932275,0.5,0.5,0.5,0.49938647520988716,0.5,0.4612097274180473,0.3956047799475372,0.5,0.4508691679237836,0.5,0.5135069192462651,0.5,0.4072784722542553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL_ROLLING_SAR_SAR_ALL,0.7876012311295777,0.4614280018440299,0.6260691070817653,0.42041889073745187,0.48312800834763875,0.6937399728495619,0.5335496085160494,0.5460900625169527,0.44168760012217245,0.801836143929449,0.5076555023923445,0.39617123301572926,0.3584871361296231,0.4672287040494957,0.3901544739143107,0.37946394319338245,0.4501781591482965,0.44485465651639744,0.5217733123128383,0.35424870334263614,0.4273245998431662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_coh_drop_count,0.5305118594378695,0.42144579927643044,0.5020435967302452,,,0.5007207207207207,0.4995465584747679,0.49779803359278985,,,,0.5009495982468956,,0.49901596707054546,0.4832517271446777,,0.515909090909091,,0.49347676970916404,,0.4936434859034043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_coh_drop_countM,0.533415083325351,0.41784410471099814,0.4998534326083133,0.5,0.5,0.49977786005183267,0.49771538968705425,0.49861328933401294,0.5,0.5,0.5,0.4997925659115251,0.5,0.49485842230102783,0.5089303410084524,0.5,0.49831573369668064,0.5,0.5180855061755387,0.5,0.5162839614373357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_coh_max_drop,0.5333303820008067,0.4241089374246282,0.499861302283772,,,0.5005375458561054,0.4816658615680984,0.4907219470410785,,,,0.4959970520013105,,0.4900427194987186,0.457079616339124,,0.5440191387559808,,0.4963181360892629,,0.49328815281725924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_coh_max_dropM,0.5558517511788085,0.3445080925503682,0.5032942412744165,0.5,0.5,0.49903739355794147,0.48996043257417005,0.4933373362578615,0.5,0.5,0.5,0.5037679443790972,0.5,0.4731041207767315,0.49211308656368413,0.5,0.5236094664958069,0.5,0.4267856335365578,0.5,0.47695973061488073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_coh_max_dropX,0.4412502507622268,0.3524012883290347,0.4969892460350738,0.5,0.5,0.4994076268048871,0.48901483032824916,0.4819503534117775,0.5,0.5,0.5,0.5036248323669241,0.5,0.45340902044203624,0.5197784902360828,0.5,0.4966968915419011,0.5,0.3778736900056503,0.5,0.46533004289865765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_coh_running_min,0.49920314021780837,0.5295290097815891,0.5046261833197561,,,0.5018711786578823,0.48952704422035176,0.49546039785695667,,,,0.5015272961267299,,0.5003435001664072,0.477241934402039,,0.5566985645933015,,0.5204604902140113,,0.4902703964624616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_coh_running_minM,0.5225161888479034,0.4285796608480046,0.507795901010981,0.5,0.5,0.49851906701221765,0.48744624801538006,0.5178300254066043,0.5,0.5,0.5,0.49886585112632403,0.5,0.4851359108274124,0.4835441562226756,0.5,0.4723991197478196,0.5,0.5052803676567109,0.5,0.4761446561188247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_coh_running_minX,0.5582400919551863,0.45675095627904655,0.507454157801504,0.5,0.5,0.4985931136616068,0.5016596873715471,0.5292794219645585,0.5,0.5,0.5,0.5000393143349603,0.5,0.5075330871668915,0.4852462838822501,0.5,0.5248746938312057,0.5,0.549324407086383,0.5,0.49583744637667787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vh_kurtosis,0.5309616799171535,0.4564924182957675,0.5119602702183224,0.4472462058861495,0.5054024033121276,0.5227451766835328,0.5051431562405022,0.540550493631455,0.46319326890093393,0.5402235012959036,0.5789220526062632,0.5710886458426709,0.4856098205129084,0.4931553486894144,0.532999125619353,0.3466886976111644,0.41207372923053626,0.49218675997646366,0.5181178842353751,0.295156809521989,0.5572618663222474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vh_max,0.6236741229647595,0.5395298346602873,0.5259620943329997,0.5630890970905077,0.4332020599818236,0.5678760952733556,0.5917318194735671,0.5627512386540788,0.6486041221617396,0.6828570466861894,0.5830940988835727,0.6317256569450713,0.5,0.5777189522185607,0.5610958904109589,0.6249657479096741,0.6069306341816846,0.553669742054095,0.5647449245470474,0.5,0.590793855805157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vh_mean,0.5380082440555244,0.5342523114029211,0.4697919885390039,0.5109966097678784,0.5217650566487776,0.45054328566793944,0.5350416023213537,0.5070780816888969,0.5644557104633151,0.5485986881335719,0.5618064516129032,0.5282340193032443,0.5493285889778455,0.5416279958440156,0.5363605875645583,0.48129442573887016,0.4816985645933014,0.5006216819244018,0.5001248399487837,0.4180672268907563,0.501587841085431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vh_median,0.5627456792086937,0.4234898889844129,0.5659579236558286,0.4952763095762978,0.5802955333400652,0.5657539388703772,0.4914078740395636,0.5218322460207739,0.47002993560816647,0.5404422902150863,0.8077517024885447,0.5,0.5,0.49806294534102197,0.4080443019527834,0.5,0.4257954981697458,0.5057228193371572,0.5279998876097177,0.5,0.49849993080861665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vh_min,0.6699869694006828,0.5733733911461644,0.5060716005827074,0.5733547994920981,0.5790837793261301,0.5257769756057428,0.5636184261792775,0.5174966047879295,0.6232164883897116,0.6482715675384564,0.8051796157059314,0.5,0.5,0.5716634194031813,0.5891110463421744,0.5,0.6143370803527496,0.5800208742758003,0.5520191397138525,0.5,0.5316961114442548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vh_skewness,0.5829358789690463,0.569940754307928,0.5495776261722609,0.4597381853465079,0.3130869433504998,0.5620572627421944,0.5031285529660131,0.48537559914817013,0.534798648009944,0.7731327207243597,0.6029923293081189,0.5408773360726429,0.528991298323118,0.4770973013339692,0.49599533663654916,0.3466908054321075,0.49163706359119097,0.511229078626791,0.4923350705534388,0.6040798511552038,0.4960256469394345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vh_std,0.5144936048854807,0.41322624253977747,0.41527106062101526,0.5548280442191339,0.5162576996869636,0.44758319963799414,0.465598414782481,0.4387755509065943,0.51633011121866,0.6433235719815544,0.23301688564846457,0.6586654104509874,0.4030244929738332,0.40627038643466884,0.4775867094141649,0.394247356160191,0.5023395891796028,0.4247184455284575,0.46594069568706686,0.32526347313020093,0.5146828728262374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vv_kurtosis,0.5021759835753,0.5254971405076065,0.5054693755783846,0.45784420249566604,0.531471944528594,0.5198481015261838,0.5097838956502087,0.49654366472667955,0.4661048570464886,0.5595610757682857,0.5680210627579049,0.5582987815274645,0.49089873882278695,0.47512034997952124,0.5476887204896531,0.3621954093346115,0.5162116714518212,0.4884696740225484,0.5251519354177341,0.2593282868830523,0.529147100881037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vv_max,0.5918566887096453,0.6283734534444736,0.5592017234841037,0.5884249419279395,0.6023595543438016,0.5507615492204534,0.5524141317756172,0.5390760283480264,0.6990501014789017,0.6662290888283011,0.6770664033821928,0.6555738961017389,0.5,0.6038147505117802,0.5701311570970561,0.6397196513832786,0.5337410176969619,0.5980362053186443,0.5906124699652336,0.5,0.5983421744545413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vv_mean,0.5368473865950476,0.6820146053865738,0.5191016601589933,0.4976566843165311,0.4514013118664282,0.4133413191584937,0.5314080214514968,0.4972327447235272,0.5646129653100501,0.4555754323196184,0.544,0.5074691352776959,0.4887109755580972,0.5347265134753449,0.5265410154939969,0.525796687412849,0.4258373205741627,0.48877879591179296,0.5142061459667093,0.3709150326797386,0.5309963745725703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vv_median,0.5327680715978117,0.4396313809043222,0.5336908340834863,0.5281847322813585,0.5946346225049648,0.5226927269735488,0.4948366798733119,0.5435491674573968,0.4316480627785006,0.5181426503753072,0.659674438621807,0.5,0.5,0.4958355124540459,0.4369454969396677,0.5,0.46203723228816906,0.45826535754063846,0.5150699563653509,0.5,0.5253000599658656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vv_min,0.5535338949202351,0.6885505052392877,0.5544006210004726,0.5678917721059488,0.44336732976539095,0.57307427290304,0.5754203907719134,0.5436622629804095,0.5903381751132157,0.5086505772661483,0.6628996734259892,0.5,0.5,0.5655649588043571,0.6107024191197901,0.5,0.5213785571001422,0.5645775019111864,0.5304988152922785,0.5,0.5802237188062179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vv_skewness,0.5386923856840522,0.5261138937689231,0.4962541827365134,0.5036873302125447,0.5861186845736982,0.49455140071578424,0.47442064008996454,0.4837007530003163,0.5204267906873109,0.6335790501194924,0.5629022050074681,0.5529312056272417,0.4689541867173379,0.4808385100737578,0.46836490819003207,0.36219851837050265,0.5206334787804073,0.4672918620255442,0.5326063525972912,0.6219972983650011,0.4593233082706767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0_single_s1_vv_std,0.5684305266639317,0.45629929353717336,0.44873777646506163,0.5690187366160094,0.5282910902420141,0.44582150643794477,0.4197379660982061,0.38371093629014774,0.4495364091735384,0.726766299774479,0.27842333105490996,0.6362292620338783,0.3324164045645217,0.3739050605150399,0.47842611483532493,0.39325330780340606,0.45113573077692526,0.43610774337740005,0.4470013965370622,0.3441366874386716,0.4771410120393007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_PWTT_VH_exact,0.5743588230085884,0.5478862387779713,0.47557164527093454,0.5116220255725573,0.5921288014311271,0.5103562026199765,0.5210151583791572,0.5049459450831838,0.5498756043749706,0.6499701848539057,0.5889032258064517,0.5494968195227093,0.5077731181429237,0.5493669349039726,0.5239519753169226,,0.49964114832535883,0.5001984243111179,0.4999535851472471,0.33800186741363214,0.49060513052912014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_PWTT_VH_faithful,0.5743588230085884,0.5478862387779713,0.47557164527093454,0.5116220255725573,0.5921288014311271,0.5103562026199765,0.5210151583791572,0.5049459450831838,0.5498756043749706,0.6499701848539057,0.5889032258064517,0.5494968195227093,0.5077731181429237,0.5493669349039726,0.5239519753169226,,0.49964114832535883,0.5001984243111179,0.4999535851472471,0.33800186741363214,0.49060513052912014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_PWTT_VH_faithful_bldg,0.5912211933073765,0.5821256038647342,0.5087983602357161,0.5118491582920238,0.7278195488721804,0.5390542258903692,0.5378396466336501,0.520325283742149,0.5693431278974639,0.7473684210526317,0.6191325014854426,0.5585795314354196,0.5462962962962963,0.5621555879588561,0.5795119625520111,,0.5225067385444744,0.5160361856187715,0.5092985025619756,0.32766164316966456,0.5088290816752702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_PWTT_VV+VH,0.5556375370146288,0.6243635267318772,0.4969521615775724,0.5326013652063758,0.47584973166368516,0.5189097175965575,0.536458450656635,0.49375322547178346,0.5759048021405435,0.5289206917113894,0.5530322580645162,0.5534524216684443,0.5231499131613504,0.5565796248249095,0.5112750687504193,,0.4186602870813397,0.49894078533201813,0.4981857051399305,0.3253968253968254,0.5221216303437289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_PWTT_VV+VH_faithful,0.5556375370146288,0.6243635267318772,0.4969521615775724,0.5326013652063758,0.47584973166368516,0.5189097175965575,0.536458450656635,0.49375322547178346,0.5759048021405435,0.5289206917113894,0.5530322580645162,0.5534524216684443,0.5231499131613504,0.5565796248249095,0.5112750687504193,,0.4186602870813397,0.49894078533201813,0.4981857051399305,0.3253968253968254,0.5221216303437289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_PWTT_VV+VH_faithful_bldg,0.5629011890981795,0.6545060802931868,0.5347066359210864,0.5373669539109516,0.6165413533834586,0.5630567485030555,0.5632119557942886,0.512072406719521,0.5962611353513316,0.6601503759398496,0.5763517528223411,0.5644718367778547,0.5723631239935588,0.5678419275449043,0.5537664701803051,,0.44110512129380053,0.5177225828591625,0.507903025118594,0.3145357316480311,0.5396306319851651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_PWTT_VV_exact,0.5296067841297012,0.6394043950154095,0.5104216410573331,0.5382380817847932,0.3840190816935003,0.5117676911853332,0.5211115199176379,0.49287137483573373,0.5636365770079331,0.3685152057245081,0.4980645161290323,0.531986570518836,0.5152285339094336,0.536637324091304,0.5063921121470254,,0.3937799043062201,0.49671196165509673,0.5012458843972929,0.32026143790849676,0.5193373295431137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_PWTT_VV_faithful,0.5296067841297012,0.6394043950154095,0.5104216410573331,0.5382380817847932,0.3840190816935003,0.5117676911853332,0.5211115199176379,0.49287137483573373,0.5636365770079331,0.3685152057245081,0.4980645161290323,0.531986570518836,0.5152285339094336,0.536637324091304,0.5063921121470254,,0.3937799043062201,0.49671196165509673,0.5012458843972929,0.32026143790849676,0.5193373295431137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_PWTT_VV_faithful_bldg,0.5353967168262654,0.6679576878227553,0.5340558544709197,0.5442708954966567,0.48120300751879697,0.5421389424906002,0.5475467459684693,0.5016097862330606,0.5759703663303336,0.5112781954887218,0.5095068330362449,0.5407146256065608,0.5497685185185186,0.5463860089746412,0.5281943481276006,,0.43113207547169813,0.5055321638147922,0.5090295599277636,0.3091881380651434,0.5349028550426836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_VV+VH_faithful,0.5059787599313291,0.5359907120743035,0.5183660355627967,,,0.5325924143261429,0.5373168944180049,0.48540988199040513,,,,0.5198442050760483,,0.5230815452071905,0.4821917808219178,,0.5132179764479692,,0.5134097908748778,,0.5183148279064609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_VV+VH_faithful_bldg,0.5090067283991739,0.5739872782055573,0.5370125544452985,,,0.5913528471788823,0.5591127796750822,0.5244129634283591,,,,0.5261535917785918,,0.5281486976471511,0.5184027777777778,,0.5591740013540961,,0.52111146970166,,0.5211424692076424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_exact_vh,0.4883549557527972,0.5953368720447834,0.5654369410894315,,,0.5842628785712016,0.6087144666670291,0.5649870652486346,,,,0.521970478078872,,0.5444684879054111,0.47878410623508666,,0.5925258004297136,,0.5035323460083845,,0.5323050090641623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_exact_vv,0.4691657469152529,0.6612076305730176,0.5835270009218538,,,0.6090134108748849,0.616390590767993,0.5767691865478586,,,,0.5096972901520158,,0.5625127989637886,0.41408168205553825,,0.6159980275439401,,0.526161408835809,,0.5735320886207613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vh_Optuna,0.5027096706303273,0.5441862402132268,0.5495977453241097,,,0.5569181624685958,0.5084878750317824,0.5248002699349109,,,,0.5320098330620876,,0.5121375265498367,0.5306432038834952,,0.5614555256064689,,0.5280388897529616,,0.5229727359294342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vh_Optuna_pixel,0.48503674408995656,0.5271841082674529,0.5231642742773674,,,0.5162511542012928,0.505341791554706,0.4915131143543836,,,,0.52108782621867,,0.5080083256960727,0.48639077067543096,,0.516208133971292,,0.5178745198463509,,0.5149703374119392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vh_faithful,0.4936528586775475,0.4816847972065538,0.5251850473327901,,,0.5254323575653215,0.5114782673193887,0.5027958342070316,,,,0.5028540660683002,,0.5122234553939984,0.4912033306473274,,0.4770334928229665,,0.5072600916957442,,0.5019540917340373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vh_faithful_bldg,0.502906976744186,0.4884570426651081,0.5453881629515757,,,0.5481695634440518,0.5169919568478504,0.5246669942133421,,,,0.513172521120498,,0.5155045248986077,0.5217339409722221,,0.5121293800539084,,0.5122689196445395,,0.5040462210177657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vh_persistence_faithful,0.5006701950464701,0.506211388665055,0.5,,,0.5,0.5047068931414727,0.49833997343957503,,,,0.5,,0.5,0.497716894977169,,0.4863636363636364,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vh_persistence_faithful_bldg,0.5078264758497317,0.5172413793103449,0.5,,,0.5,0.5059725192301554,0.5019707391636642,,,,0.5,,0.5,0.5064236111111111,,0.4858490566037736,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vv_Optuna,0.48205829737977485,0.579064634349492,0.499774532410966,,,0.5573328854781824,0.5472186467073481,0.48368589917885696,,,,0.5076682637187578,,0.5278021282160179,0.5560852981969487,,0.6249326145552561,,0.5081490158211716,,0.5264621861374229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vv_Optuna_pixel,0.48668949030487263,0.5267988744472732,0.49021215483581004,,,0.5032861670534801,0.5224990771502399,0.4660973318955021,,,,0.5031553611465248,,0.5208456865589968,0.5302300623784292,,0.5717703349282296,,0.49839239985366746,,0.5192806822395254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vv_faithful,0.5077611286016022,0.5589242546333602,0.4987359195483019,,,0.5164717090034692,0.5283004033004033,0.47860685223343696,,,,0.5236655611878056,,0.5173428551887086,0.48903346971627876,,0.5400144196106705,,0.5091641580415406,,0.5147710359627565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vv_faithful_bldg,0.5077942841915928,0.596079986641062,0.5078529336407891,,,0.5724533814321279,0.5534807961560491,0.5012781799154058,,,,0.5298656748486712,,0.5216278083881771,0.5105322468793342,,0.566824644549763,,0.5146841755210584,,0.518629329403095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vv_persistence_faithful,0.49214422348862236,0.5163510609723342,0.5,,,0.5,0.4985662485662486,0.4976548038976007,,,,0.5,,0.5,0.49885974914481185,,0.519466474405191,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_CCD_vv_persistence_faithful_bldg,0.4959096662447538,0.519808800200384,0.5,,,0.5,0.5107395150512315,0.5074674050494921,,,,0.5,,0.5,0.4986130374479889,,0.5214624238320921,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_BAEI,0.4154197286741631,,,,0.5891472868217055,,,,0.4542271041637328,0.5891472868217055,0.6069677419354839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_BSI,0.37449458430481364,,,,0.505664877757901,,,,0.6694972539079003,0.505664877757901,0.7914838709677419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_IBI,0.5542307351769324,,,,0.5134168157423972,,,,0.498697366568089,0.5134168157423972,0.5891612903225806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_MNDWI,0.3810858936143002,,,,0.48598688133571855,,,,0.4930549687837394,0.48598688133571855,0.5411612903225806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_NDBI,0.5192869580615648,,,,0.5110316040548599,,,,0.6517344974886166,0.5110316040548599,0.7383225806451613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_NDSI,0.3810858936143002,,,,0.48598688133571855,,,,0.4930549687837394,0.48598688133571855,0.5411612903225806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_NDVI,0.7986502572578186,,,,0.5462134764460346,,,,0.7271874853307045,0.5462134764460346,0.7783225806451614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_SAVI,0.7936821808379817,,,,0.5390578413834228,,,,0.7336079425433037,0.5390578413834228,0.785032258064516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_UI,0.3383997875040581,,,,0.5050685748360167,,,,0.6226329624935454,0.5050685748360167,0.7741935483870968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3_logratio_VH,0.49291188304852973,0.46584818437625625,0.5438811483468637,0.4861827535611108,0.5402504472271915,0.43132539741958026,0.5299872101958016,0.5133840452869539,0.5198727878702529,0.5599284436493739,0.599225806451613,0.5060964325161379,0.5137035625026476,0.532527846434351,0.5372862029646522,0.4746964595449444,0.5482057416267943,0.495580895497957,0.5282682458386684,0.31092436974789917,0.5387759375987037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
