A,B,n_pair_cities,wilcoxon_p,p_holm,cliffs_delta
NB08b_BDA_RGB+CARD_AdaBoost,B3a_LogRatio_VH_faithful_bldg,20,1.9073486328125e-06,8.58306884765625e-05,0.9
NB08b_BDA_RGB_XGBoost,B3a_LogRatio_VH_faithful_bldg,20,3.814697265625e-06,0.0001678466796875,0.915
CLF_F7_GBM,B3a_LogRatio_VH_faithful_bldg,19,3.814697265625e-06,0.0001678466796875,0.9113573407202216
B7_UISEM_all_multimodal,B3a_LogRatio_VH_faithful_bldg,19,7.62939453125e-06,0.0003204345703125,0.7950138504155124
B7_UISEM_ms_only,B3a_LogRatio_VH_faithful_bldg,19,3.814697265625e-05,0.00156402587890625,0.739612188365651
CLF_F7_GBM,B7_UISEM_ms_only,19,0.000209808349609375,0.008392333984375,0.556786703601108
R3b_card_only,B3a_LogRatio_VH_faithful_bldg,19,0.00026702880859375,0.01041412353515625,0.42382271468144045
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,B3a_LogRatio_VH_faithful_bldg,12,0.00048828125,0.0185546875,1.0
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,NB08b_BDA_RGB+CARD_AdaBoost,12,0.00048828125,0.0185546875,0.20833333333333334
NB08b_BDA_RGB+CARD_AdaBoost,B7_UISEM_ms_only,19,0.000522613525390625,0.0188140869140625,0.5235457063711911
CLF_F7_GBM,E6_B_nativeNaN_coh_only,15,0.0006103515625,0.0213623046875,0.7155555555555555
CLF_F7_GBM,R3b_card_only,19,0.000644683837890625,0.0213623046875,0.5512465373961218
B7_UISEM_all_multimodal,E6_B_nativeNaN_coh_only,15,0.0006103515625,0.0213623046875,0.6533333333333333
NB08b_BDA_RGB_XGBoost,B7_UISEM_ms_only,19,0.000789642333984375,0.0252685546875,0.6343490304709142
NB08b_BDA_RGB_XGBoost,E6_B_nativeNaN_card+coh,15,0.0008544921875,0.0264892578125,0.5377777777777778
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,CLF_F7_GBM,11,0.0009765625,0.029296875,0.2727272727272727
NB08b_BDA_RGB+CARD_AdaBoost,E6_B_nativeNaN_coh_only,15,0.00115966796875,0.03363037109375,0.7155555555555555
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,B7_UISEM_all_multimodal,11,0.001953125,0.0546875,0.6198347107438017
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,R3b_card_only,11,0.001953125,0.0546875,0.6694214876033058
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,B7_UISEM_ms_only,11,0.001953125,0.0546875,0.71900826446281
NB08b_BDA_RGB+CARD_AdaBoost,E6_B_nativeNaN_card+coh,15,0.00201416015625,0.0546875,0.5022222222222222
CLF_F7_GBM,B7_UISEM_all_multimodal,19,0.002399444580078125,0.057586669921875,0.4515235457063712
NB08b_BDA_RGB+CARD_AdaBoost,R3b_card_only,19,0.0033416748046875,0.0768585205078125,0.5401662049861495
CLF_F7_GBM,E6_B_nativeNaN_card+coh,15,0.00335693359375,0.0768585205078125,0.48444444444444446
R3b_card_only,E6_B_nativeNaN_coh_only,15,0.00335693359375,0.0768585205078125,0.48444444444444446
NB08b_BDA_RGB_XGBoost,R3b_card_only,19,0.005329132080078125,0.1065826416015625,0.5844875346260388
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,E6_B_nativeNaN_coh_only,8,0.0078125,0.1484375,0.96875
NB08b_BDA_RGB_XGBoost,NB08b_BDA_RGB+CARD_AdaBoost,21,0.009016036987304688,0.16228866577148438,0.12018140589569161
NB08b_BDA_RGB_XGBoost,E6_B_nativeNaN_coh_only,15,0.01025390625,0.17431640625,0.7155555555555555
NB08b_BDA_RGB_XGBoost,B7_UISEM_all_multimodal,19,0.01082611083984375,0.17431640625,0.5512465373961218
NB08b_BDA_RGB+CARD_AdaBoost,B7_UISEM_all_multimodal,19,0.015972137451171875,0.23958206176757812,0.4293628808864266
NB08b_BDA_RGB_XGBoost,CLF_F7_GBM,19,0.020412445068359375,0.28577423095703125,0.13019390581717452
B7_UISEM_ms_only,E6_B_nativeNaN_coh_only,15,0.0301513671875,0.3919677734375,0.6088888888888889
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,E6_B_nativeNaN_card+coh,8,0.0390625,0.46875,0.40625
B7_UISEM_all_multimodal,B7_UISEM_ms_only,19,0.044559478759765625,0.4901542663574219,0.18559556786703602
B7_UISEM_all_multimodal,R3b_card_only,19,0.049365997314453125,0.49365997314453125,0.4182825484764543
E6_B_nativeNaN_card+coh,B3a_LogRatio_VH_faithful_bldg,15,0.083251953125,0.749267578125,0.36
NB08b_BDA_RGB_XGBoost,NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,12,0.38037109375,1.0,-0.041666666666666664
CLF_F7_GBM,NB08b_BDA_RGB+CARD_AdaBoost,19,0.9217147827148438,1.0,0.002770083102493075
B7_UISEM_ms_only,R3b_card_only,19,0.5677604675292969,1.0,0.25761772853185594
R3b_card_only,E6_B_nativeNaN_card+coh,15,0.42120361328125,1.0,0.09333333333333334
B7_UISEM_ms_only,E6_B_nativeNaN_card+coh,15,0.48870849609375,1.0,0.057777777777777775
B7_UISEM_all_multimodal,E6_B_nativeNaN_card+coh,15,0.1688232421875,1.0,0.23555555555555555
E6_B_nativeNaN_card+coh,E6_B_nativeNaN_coh_only,15,0.15142822265625,1.0,0.3511111111111111
E6_B_nativeNaN_coh_only,B3a_LogRatio_VH_faithful_bldg,15,0.76153564453125,1.0,-0.2
