A,B,n_pair_cities,wilcoxon_p,p_holm,cliffs_delta
R0_dietrich28_faithful_groupkfold,R0_dietrich28_groupkfold,21,9.5367431640625e-07,2.6702880859375e-05,0.6780045351473923
R5_RF-200_dietrich28,R0_dietrich28_groupkfold,21,9.5367431640625e-07,2.6702880859375e-05,0.6780045351473923
R5_ExtraTrees_dietrich28,R0_dietrich28_groupkfold,21,4.76837158203125e-06,0.0001239776611328125,0.6462585034013606
R5_XGBoost_dietrich28,R0_dietrich28_groupkfold,21,3.147125244140625e-05,0.0007867813110351562,0.5782312925170068
R5_LightGBM_dietrich28,R0_dietrich28_groupkfold,21,0.00019741058349609375,0.00473785400390625,0.5555555555555556
R0_dietrich28_faithful_groupkfold,R5_LightGBM_dietrich28,21,0.00029277801513671875,0.006733894348144531,0.2743764172335601
R5_RF-200_dietrich28,R5_LightGBM_dietrich28,21,0.00029277801513671875,0.006733894348144531,0.2743764172335601
R5_GBM_dietrich28,R0_dietrich28_groupkfold,21,0.0006074905395507812,0.012757301330566406,0.5963718820861678
R5_RF-200_dietrich28,R5_XGBoost_dietrich28,21,0.000720977783203125,0.0144195556640625,0.2471655328798186
R0_dietrich28_faithful_groupkfold,R5_XGBoost_dietrich28,21,0.000720977783203125,0.0144195556640625,0.2471655328798186
R4_tier1_dietrich28,R0_dietrich28_groupkfold,11,0.0009765625,0.017578125,0.7024793388429752
R5_ExtraTrees_dietrich28,R5_LightGBM_dietrich28,21,0.004878997802734375,0.08294296264648438,0.1746031746031746
R0_dietrich28_faithful_groupkfold,R5_GBM_dietrich28,21,0.005541801452636719,0.0886688232421875,0.25170068027210885
R5_RF-200_dietrich28,R5_GBM_dietrich28,21,0.005541801452636719,0.0886688232421875,0.25170068027210885
R5_ExtraTrees_dietrich28,R5_XGBoost_dietrich28,21,0.008009910583496094,0.11213874816894531,0.12471655328798185
R5_XGBoost_dietrich28,R5_LightGBM_dietrich28,21,0.01947307586669922,0.25314998626708984,0.02947845804988662
R5_ExtraTrees_dietrich28,R5_GBM_dietrich28,21,0.04599285125732422,0.5519142150878906,0.1564625850340136
R4_tier1_dietrich28,R5_LightGBM_dietrich28,11,0.0537109375,0.5908203125,0.2727272727272727
R4_tier1_dietrich28,R5_XGBoost_dietrich28,11,0.0830078125,0.830078125,0.30578512396694213
R4_tier1_dietrich28,R5_GBM_dietrich28,11,0.0830078125,0.830078125,0.3884297520661157
R4_tier1_dietrich28,R5_ExtraTrees_dietrich28,11,0.1474609375,1.0,0.19008264462809918
R4_tier1_dietrich28,R5_RF-200_dietrich28,11,0.2060546875,1.0,0.15702479338842976
R4_tier1_dietrich28,R0_dietrich28_faithful_groupkfold,11,0.2060546875,1.0,0.15702479338842976
R0_dietrich28_faithful_groupkfold,R5_RF-200_dietrich28,21,,1.0,0.0
R5_RF-200_dietrich28,R5_ExtraTrees_dietrich28,21,0.47333431243896484,1.0,0.05668934240362812
R0_dietrich28_faithful_groupkfold,R5_ExtraTrees_dietrich28,21,0.47333431243896484,1.0,0.05668934240362812
R5_XGBoost_dietrich28,R5_GBM_dietrich28,21,0.41198158264160156,1.0,0.02040816326530612
R5_LightGBM_dietrich28,R5_GBM_dietrich28,21,0.9728584289550781,1.0,-0.024943310657596373
