A,B,n_pair_cities,wilcoxon_p,p_holm,cliffs_delta
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,CLF_F7_GBM,11,0.0009765625,0.0439453125,0.2727272727272727
NB08b_BDA_COH_DROP+RGB_AdaBoost,CLF_F7_GBM,11,0.0009765625,0.0439453125,0.2892561983471074
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,NB08b_BDA_RGB_RF-200,12,0.00927734375,0.39892578125,0.18055555555555555
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,NB08b_BDA_RGB_UISEM_voting,12,0.01220703125,0.5126953125,0.16666666666666666
NB08b_BDA_RGB_LogReg,NB08b_BDA_RGB_UISEM_voting,21,0.015240061183200121,0.6248425085112049,0.027210884353741496
NB08b_BDA_RGB_XGBoost,CLF_F7_GBM,19,0.020412445068359375,0.816497802734375,0.13019390581717452
NB08b_BDA_RGB_XGBoost,NB08b_BDA_RGB_LogReg,21,0.41146474044009396,1.0,0.031746031746031744
NB08b_BDA_RGB_XGBoost,NB08b_BDA_RGB_AdaBoost,21,0.08219528198242188,1.0,0.02040816326530612
NB08b_BDA_RGB_XGBoost,NB08b_BDA_RGB_RF-200,21,0.05222204238661496,1.0,0.05442176870748299
NB08b_BDA_RGB_AdaBoost,NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,12,0.38037109375,1.0,-0.027777777777777776
NB08b_BDA_RGB_AdaBoost,NB08b_BDA_RGB_LogReg,21,0.3376598358154297,1.0,0.02040816326530612
NB08b_BDA_RGB_AdaBoost,NB08b_BDA_COH_DROP+RGB_AdaBoost,12,0.90966796875,1.0,-0.013888888888888888
NB08b_BDA_RGB_XGBoost,NB08b_BDA_RGB_ExtraTrees,21,0.47812547119613813,1.0,0.045351473922902494
NB08b_BDA_RGB_XGBoost,NB08b_BDA_RGB_GBM,21,0.1789561131984324,1.0,0.045351473922902494
NB08b_BDA_RGB_XGBoost,NB08b_BDA_RGB_UISEM_voting,21,0.06735455698601128,1.0,0.06349206349206349
NB08b_BDA_RGB_XGBoost,NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,12,0.38037109375,1.0,-0.041666666666666664
NB08b_BDA_RGB_AdaBoost,NB08b_BDA_RGB_RF-200,21,0.22898578643798828,1.0,0.02947845804988662
NB08b_BDA_RGB_AdaBoost,NB08b_BDA_RGB_UISEM_voting,21,0.6578273773193359,1.0,0.02947845804988662
NB08b_BDA_RGB_AdaBoost,NB08b_BDA_RGB_GBM,21,0.35541629791259766,1.0,0.02947845804988662
