city,combo,chosen,auc
Avdiivka,card+coh+ms,NB08b_BDA_RGB_XGBoost,0.8841031206568433
Borodyanka,card+coh,NB08b_BDA_RGB_XGBoost,0.6812242240745585
Bucha,card+coh+ms,NB08b_BDA_RGB_AdaBoost,0.7866704192866361
Chernihiv,card+coh+ms,NB08b_BDA_RGB_AdaBoost,0.6986747826938258
Chornobaivka,card+coh+ms,NB08b_BDA_RGB_XGBoost,0.7583644686795247
Dmytrivka,card+coh+ms,NB08b_BDA_RGB_AdaBoost,0.8064099201941667
Hostomel,card+coh+ms,NB08b_BDA_COH_DROP+RGB_AdaBoost,0.6739590971367911
Irpin,card+coh+ms,NB08b_BDA_COH_DROP+RGB_AdaBoost,0.7475867480203591
Kharkiv,card+ms,NB08b_BDA_RGB_LightGBM,0.8184596098338314
Kherson,card+coh+ms,NB08b_BDA_RGB_AdaBoost,0.7329176343868862
Kramatorsk,card+coh+ms,NB08b_BDA_RGB_AdaBoost,0.8709576972734868
Lysychansk,card+coh+ms,NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,0.7690577937772031
Makariv,card+ms,NB08b_BDA_RGB_LogReg,0.7662500471612366
Mariupol,card+coh+ms,NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,0.7461075083964295
Moschun,card+coh+ms,NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,0.6277178665112212
Mykolaiv,card+coh,NB08b_BDA_RGB_XGBoost,0.6939930897198201
Okhtyrka,card+coh+ms,NB08b_BDA_RGB_LogReg,0.6796887757033097
Rubizhne,card+coh+ms,NB08b_BDA_RGB_AdaBoost,0.6704587270001786
Sievierodonetsk,card+coh+ms,NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,0.7780566315315327
Trostianets,card+ms,NB08b_BDA_RGB_LogReg,0.7715238750621248
Volnovakha,card+coh+ms,E7c_HistGBM_imputed,0.5076041330319664
