experiment_name,record_type,notebook,cell_id,parquet_name,tier_selection,n_cities,cities,n_buildings,n_damaged,n_undamaged,damage_rate,classifier_name,feature_set_name,n_features,cv_method,n_folds,imputation,scaling,class_weight,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,average_precision,log_loss,brier_score,specificity,tp,fp,tn,fn,precision_at_recall_80,precision_at_recall_90,threshold_at_recall_90,n_samples,prevalence,mean_best_auc,mean_jm,mean_auc,auc_mean,auc_std,note,is_reference,reference_paper,timestamp,run_id
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,experiment,NB11_V2,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,bda_fusion_indices_card_cohdrop_v2,"[0, 1, 2]",18,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Sievierodonetsk,Trostianets,Volnovakha",466704,6755.0,459949.0,0.01447384209263259,LightGBM-MIA-Optuna,None,86,GroupKFold,5.0,native_nan,none,balanced,0.8471212153619858,0.08909099720530507,0.04711621429974968,0.8164322723908216,0.7583564743391957,0.7869679108486876,0.1581337807035214,0.07420506036610322,2.4819560950538566,0.19864991320244518,0.7575035493065535,5515.0,111536.0,348413.0,1240.0,0.04933808089108007,0.03373123731126371,0.2074982783803614,466704.0,0.01447384209263259,,,,0.7481244832633234,0.04433699648192617,NB11 Optuna tuned; pooled_auc=0.8471 mean_folds=0.7481 baseline=0.8154 delta=0.0317,False,,2026-07-03T08:34:42.076834,20260703_083441
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA__baseline,experiment,NB11_V2,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,bda_fusion_indices_card_cohdrop_v2,"[0, 1, 2]",0,,466704,,,,LightGBM-MIA,None,0,GroupKFold,,native_nan,none,balanced,0.8154260619687441,,,,,,,,,,,,,,,,,,,,,,,,,NB11 source baseline for NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA (pre-tuning AUC from best_params),False,,2026-07-03T08:34:43.560788,20260703_083441
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA,experiment,NB11_V2,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA,bda_fusion_ms_card_cohdrop_v2,"[0, 1, 2]",18,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Sievierodonetsk,Trostianets,Volnovakha",466704,6755.0,459949.0,0.01447384209263259,LightGBM-MIA-Optuna,None,100,GroupKFold,5.0,native_nan,none,balanced,0.8390664994060368,0.0900930577287326,0.047700021800741225,0.8097705403404886,0.7632546539134012,0.7861710214165781,0.15878137923464342,0.0665956118009561,2.9584318376974945,0.2022660016132902,0.7625715024926677,5470.0,109205.0,350744.0,1285.0,0.04915050751264234,0.029662936674574834,0.20729070710780725,466704.0,0.01447384209263259,,,,0.7280853219575371,0.04214079529271949,NB11 Optuna tuned; pooled_auc=0.8391 mean_folds=0.7281 baseline=0.8137 delta=0.0253,False,,2026-07-03T08:34:43.630924,20260703_083441
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA__baseline,experiment,NB11_V2,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA,bda_fusion_ms_card_cohdrop_v2,"[0, 1, 2]",0,,466704,,,,LightGBM-MIA,None,0,GroupKFold,,native_nan,none,balanced,0.8137223687525013,,,,,,,,,,,,,,,,,,,,,,,,,NB11 source baseline for NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA (pre-tuning AUC from best_params),False,,2026-07-03T08:34:44.959227,20260703_083441
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA,experiment,NB11_V2,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA,bda_fusion_card_cohdrop_v2,"[0, 1, 2]",20,"Avdiivka,Borodyanka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Mykolaiv,Okhtyrka,Sievierodonetsk,Trostianets,Volnovakha",584986,6901.0,578085.0,0.011796863514682402,LightGBM-MIA-Optuna,None,32,GroupKFold,5.0,native_nan,none,balanced,0.8457265262708498,0.08039685985352626,0.04227481624526579,0.8184321112882191,0.7791280475088292,0.7985454795177613,0.15357226835958304,0.04622039841054284,0.4588291402459294,0.15748130838455976,0.7786588477473037,5648.0,127954.0,450131.0,1253.0,0.04469830063877847,0.03125833547224697,0.30104719973659505,584986.0,0.011796863514682402,,,,0.7241969904615633,0.06927318158392029,NB11 Optuna tuned; pooled_auc=0.8457 mean_folds=0.7242 baseline=0.8417 delta=0.0040,False,,2026-07-03T08:34:45.105331,20260703_083441
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA__baseline,experiment,NB11_V2,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA,bda_fusion_card_cohdrop_v2,"[0, 1, 2]",0,,584986,,,,LightGBM-MIA,None,0,GroupKFold,,native_nan,none,balanced,0.8416942331180794,,,,,,,,,,,,,,,,,,,,,,,,,NB11 source baseline for NB11a_F3__fusion_card_cohdrop__LightGBM-MIA (pre-tuning AUC from best_params),False,,2026-07-03T08:34:46.788699,20260703_083441
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA,experiment,NB11_V2,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA,bda_fusion_composite_cohdrop_v2,"[0, 1, 2]",18,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Sievierodonetsk,Trostianets,Volnovakha",466704,6755.0,459949.0,0.01447384209263259,LightGBM-MIA-Optuna,None,145,GroupKFold,5.0,native_nan,none,balanced,0.8449077177721209,0.0904497843499692,0.04788205618857093,0.8149518874907475,0.7627725496246015,0.7884790549598779,0.1599235262817132,0.0745079823868686,2.463325132634403,0.19789000988940855,0.7620062224290084,5505.0,109465.0,350484.0,1250.0,0.04982298274081723,0.02968997598747849,0.22289457068201896,466704.0,0.01447384209263259,,,,0.6782530627493418,0.10520535425959965,NB11 Optuna tuned; pooled_auc=0.8449 mean_folds=0.6783 baseline=0.8130 delta=0.0319,False,,2026-07-03T08:34:46.854299,20260703_083441
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA__baseline,experiment,NB11_V2,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA,bda_fusion_composite_cohdrop_v2,"[0, 1, 2]",0,,466704,,,,LightGBM-MIA,None,0,GroupKFold,,native_nan,none,balanced,0.8129649691039427,,,,,,,,,,,,,,,,,,,,,,,,,NB11 source baseline for NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA (pre-tuning AUC from best_params),False,,2026-07-03T08:34:48.197443,20260703_083441
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA,experiment,NB11_V2,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA,bda_fusion_ms_cohdrop_v2,"[0, 1, 2]",18,"Avdiivka,Bucha,Chernihiv,Chornobaivka,Dmytrivka,Hostomel,Irpin,Kharkiv,Kherson,Kramatorsk,Lysychansk,Makariv,Mariupol,Moschun,Okhtyrka,Sievierodonetsk,Trostianets,Volnovakha",466704,6755.0,459949.0,0.01447384209263259,LightGBM-MIA-Optuna,None,88,GroupKFold,5.0,native_nan,none,balanced,0.8514322569979395,0.08982045684121347,0.04752545236678994,0.8161361954108068,0.7605977236106826,0.7879591291023627,0.15915773727420665,0.07462989453708466,2.438958961243201,0.1986468647784006,0.7597820627939185,5513.0,110488.0,349461.0,1242.0,0.05008712416119823,0.03421381382733279,0.28392476268108213,466704.0,0.01447384209263259,,,,0.7331032831737395,0.04877668331173687,NB11 Optuna tuned; pooled_auc=0.8514 mean_folds=0.7331 baseline=0.8126 delta=0.0388,False,,2026-07-03T08:34:48.259451,20260703_083441
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA__baseline,experiment,NB11_V2,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA,bda_fusion_ms_cohdrop_v2,"[0, 1, 2]",0,,466704,,,,LightGBM-MIA,None,0,GroupKFold,,native_nan,none,balanced,0.8126126225699284,,,,,,,,,,,,,,,,,,,,,,,,,NB11 source baseline for NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA (pre-tuning AUC from best_params),False,,2026-07-03T08:34:49.609336,20260703_083441
